"casenum","date","weight_","thana","vill","day","month","year","b1_1_2","b1_1_3","b1_1_4","b1_1_5","b1_2_2","b1_2_3","b1_2_4","b1_2_5","b1_3_2","b1_3_3","b1_3_4","b1_3_5","b2_1_3","b2_1_4","b2_2_2","b2_2_4","b2_3_3","b2_3_4","b2_4_3","b2_4_4","b2_5_3","b2_5_4","b2_6_3","b2_6_4","b2_7_3","b2_7_4"
1,"11/20/99",1,1,1,25,2,99,40,30,50,30,10,70,10,65,50,35,45,30,2,2,2,2,2,1,2,2,2,2,2,1,2,2
2,"11/20/99",1,1,2,27,5,99,40,25,35,25,120,70,140,100,50,25,40,30,2,2,2,2,1,1,2,2,2,2,2,2,2,2
3,"11/20/99",1,1,3,20,6,99,50,30,40,30,140,70,150,120,70,40,60,40,2,2,2,2,2,2,1,1,2,2,2,2,2,2
4,"11/27/99",1,2,1,1,3,99,30,20,25,10,50,40,60,40,25,15,30,20,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,"11/27/99",1,2,2,4,6,99,20,10,25,15,45,25,60,35,25,20,20,10,2,1,2,2,2,2,2,2,2,2,2,2,2,2
6,"11/27/99",1,2,3,26,4,99,20,15,10,5,35,30,60,50,25,20,10,5,2,1,2,2,2,2,2,2,2,2,2,2,2,2
7,"11/27/99",1,2,4,24,7,99,30,20,35,25,50,30,60,45,30,20,30,15,2,2,2,2,2,2,2,2,2,2,2,2,2,2
8,"11/27/99",1,3,1,20,5,99,45,30,40,25,70,60,65,60,55,45,50,40,1,2,2,2,2,2,2,2,2,2,2,2,2,2
9,"11/27/99",1,3,2,20,5,99,40,30,40,25,70,60,65,60,55,45,50,40,1,2,2,2,2,2,2,2,2,2,2,2,2,2
10,"11/27/99",1,3,3,20,5,99,40,30,40,35,70,60,80,60,45,40,45,35,2,2,2,2,1,2,1,1,2,2,2,2,2,2
11,"11/27/99",1,4,1,26,4,99,20,15,30,20,30,25,50,30,25,20,40,25,2,1,2,2,2,2,2,2,2,2,2,2,2,2
12,"11/27/99",1,4,2,23,3,99,18,12,25,15,30,20,40,25,25,15,25,18,2,1,2,2,2,2,1,1,2,2,2,2,1,1
13,"11/27/99",1,4,3,25,5,99,40,25,50,35,60,30,120,60,40,25,50,35,1,2,2,2,2,2,1,2,2,2,2,2,2,2
14,"11/27/99",1,4,4,28,7,99,25,20,30,25,65,60,80,70,45,40,50,45,2,1,2,2,2,1,2,2,2,2,2,1,2,2
15,"11/27/99",1,5,1,22,6,99,70,50,60,40,110,70,120,80,1.79769313486232e+308,1.79769313486232e+308,60,40,2,2,2,2,2,2,2,2,2,2,2,2,1,2
16,"11/27/99",1,5,2,24,3,99,40,30,40,30,100,60,90,50,1.79769313486232e+308,1.79769313486232e+308,35,25,1,1,2,2,2,2,1,1,2,2,1,1,2,2
17,"11/27/99",1,5,3,12,5,99,40,25,1.79769313486232e+308,1.79769313486232e+308,85,50,100,60,50,30,35,30,1,1,2,2,2,1,1,1,2,2,2,2,2,2
18,"11/27/99",1,6,1,16,5,99,40,15,50,20,100,35,120,40,60,20,70,25,2,2,2,2,2,2,2,2,2,2,2,2,2,2
19,"11/27/99",1,6,2,15,4,99,1.79769313486232e+308,1.79769313486232e+308,30,25,60,50,70,60,40,35,50,40,2,2,2,2,2,2,2,2,2,2,2,2,2,2
20,"11/27/99",1,6,3,18,2,99,40,15,60,20,100,35,120,50,70,25,80,30,2,1,2,2,2,2,2,2,2,2,2,2,2,2
21,"11/27/99",1,7,1,13,3,99,30,25,30,25,60,50,70,60,40,30,40,30,2,1,2,2,2,2,1,2,2,2,2,2,2,2
22,"11/27/99",1,7,2,12,4,99,30,25,30,25,60,50,80,70,40,30,45,40,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,"11/20/99",1,7,3,27,6,99,25,20,30,25,55,45,65,55,40,30,45,35,1,1,2,2,2,1,1,1,2,2,2,1,2,1
2,"11/30/99",1,7,4,14,8,99,30,25,30,25,55,45,65,55,40,30,45,40,2,1,2,2,2,1,1,2,2,2,2,2,2,2
3,"11/30/99",1,8,1,20,3,99,27,20,20,15,90,40,60,40,1.79769313486232e+308,1.79769313486232e+308,25,15,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"11/30/99",1,8,2,20,4,99,25,15,20,15,90,60,70,60,1.79769313486232e+308,1.79769313486232e+308,25,15,1,1,2,2,1,1,1,1,2,2,2,1,2,1
5,"11/30/99",1,8,3,10,5,99,25,15,15,10,80,60,60,50,1.79769313486232e+308,1.79769313486232e+308,25,15,1,1,2,2,2,1,1,1,2,2,2,1,2,1
