"casenum","date","weight_","thana","vill","b7_1_3","b7_2_3","b7_3_3","b7_4_3","b9_a","b9_b","b9_c","b9_d"
1,"11/20/99",1,1,1,10,8,5,5,5,1.79769313486232e+308,2,2
2,"11/20/99",1,1,2,10,10,10,10,3,1.79769313486232e+308,2,2
3,"11/20/99",1,1,3,12,10,10,5,6,1.79769313486232e+308,2,2
4,"11/27/99",1,2,1,20,20,20,20,7,1.79769313486232e+308,1,2
5,"11/27/99",1,2,2,15,15,15,15,2,1.79769313486232e+308,2,2
6,"11/27/99",1,2,3,15,15,15,15,3,1.79769313486232e+308,2,2
7,"11/27/99",1,2,4,20,20,20,20,2,1.79769313486232e+308,1,2
8,"11/27/99",1,3,1,10,10,10,10,3,1.79769313486232e+308,1,2
9,"11/27/99",1,3,2,10,10,10,10,3,1.79769313486232e+308,2,2
10,"11/27/99",1,3,3,10,10,10,10,3,1.79769313486232e+308,2,2
11,"11/27/99",1,4,1,15,10,10,10,4,1.79769313486232e+308,2,2
12,"11/27/99",1,4,2,15,10,10,8,4,1.79769313486232e+308,2,2
13,"11/27/99",1,4,3,15,10,10,8,4,1.79769313486232e+308,2,2
14,"11/27/99",1,4,4,10,5,5,3,4,1.79769313486232e+308,1,2
15,"11/27/99",1,5,1,8,6,5,5,5,1.79769313486232e+308,1,2
16,"11/27/99",1,5,2,10,8,5,5,6,1.79769313486232e+308,1,2
17,"11/27/99",1,5,3,12,10,5,5,3,1.79769313486232e+308,2,2
18,"11/27/99",1,6,1,25,18,12,10,1,2,2,2
19,"11/27/99",1,6,2,20,20,20,20,2,2,2,2
20,"11/27/99",1,6,3,12,12,12,10,2,1.79769313486232e+308,1,2
21,"11/27/99",1,7,1,10,10,10,10,4,1.79769313486232e+308,2,2
22,"11/27/99",1,7,2,15,15,15,15,3,1.79769313486232e+308,2,2
3,"11/20/99",1,7,3,10,10,10,10,2,0,2,1
2,"11/30/99",1,7,4,10,10,10,10,2,1,1,2
3,"11/30/99",1,8,1,20,20,15,10,2,0,2,2
4,"11/30/99",1,8,2,20,20,15,15,7,1.79769313486232e+308,1,1
5,"11/30/99",1,8,3,20,20,15,10,5,1.79769313486232e+308,2,1
6,"11/30/99",1,9,1,10,12,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,1,2
7,"11/30/99",1,9,2,10,10,15,15,5,1,1,2
8,"11/30/99",1,9,3,10,15,15,1.79769313486232e+308,2,1.79769313486232e+308,1,1
9,"11/30/99",1,10,1,10,10,5,5,4,0,2,2
10,"11/30/99",1,10,2,10,10,5,5,6,1.79769313486232e+308,2,2
11,"11/30/99",1,10,3,10,10,5,5,5,1.79769313486232e+308,1,2
12,"11/30/99",1,11,1,120,120,110,60,7,1,1,2
13,"11/30/99",1,11,2,120,120,100,100,4,1,1,2
14,"11/30/99",1,11,3,120,120,110,100,7,0,2,1
15,"11/30/99",1,12,1,10,10,10,10,2,0,2,2
16,"11/30/99",1,12,2,10,10,10,10,1,0,1,2
17,"11/30/99",1,12,3,10,10,10,10,3,0,2,2
18,"11/30/99",1,13,1,240,120,60,1.79769313486232e+308,3,0,2,2
19,"11/30/99",1,13,2,10,10,8,4,4,0,2,2
20,"11/30/99",1,13,3,20,10,8,4,4,0,2,2
23,"11/28/95",1,14,1,10,10,10,10,4,0,2,2
24,"11/28/95",1,14,2,10,10,10,10,6,2,1,1
25,"11/28/95",1,14,3,10,10,10,10,3,0,2,1
26,"11/28/95",1,15,1,10,10,10,10,4,0,2,2
27,"11/28/95",1,15,2,10,10,10,10,4,0,2,2
28,"11/28/95",1,15,3,180,180,180,180,5,0,1,2
23,"11/28/99",1,16,1,30,20,15,15,5,1.79769313486232e+308,2,2
24,"11/28/99",1,16,2,30,20,15,15,5,1.79769313486232e+308,2,2
25,"11/28/99",1,16,3,30,20,15,10,6,1.79769313486232e+308,2,2
26,"11/28/99",1,17,1,10,10,5,5,1,1.79769313486232e+308,1,2
21,"11/30/99",1,17,2,10,8,5,5,2,0,2,1
22,"11/30/99",1,17,3,10,8,6,5,2,0,2,2
23,"11/30/99",1,17,4,10,7,5,5,2,0,1,2
24,"11/30/99",1,18,1,10,10,10,10,5,0,1,2
25,"11/30/99",1,18,2,10,10,10,10,5,0,2,2
21,"11/28/99",1,18,3,10,10,10,10,4,0,2,2
22,"11/28/99",1,18,4,10,10,10,10,3,0,2,1
23,"11/28/99",1,19,1,8,10,12,15,4,0,1,1
24,"11/28/99",1,19,2,8,10,12,15,4,1.79769313486232e+308,1,1
25,"11/28/99",1,19,3,8,10,12,15,4,1,1,1
1,"11/20/99",1,19,4,50,50,50,50,3,0,2,2
2,"11/20/99",1,20,1,200,150,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,2,1.79769313486232e+308
3,"11/20/99",1,20,2,20,20,15,10,5,1,1,2
4,"11/28/99",1,20,3,120,120,120,1.79769313486232e+308,1,0,2,2
5,"11/28/99",1,21,1,13,10,8,5,4,0,1,2
6,"11/28/99",1,21,2,10,8,7,5,7,0,2,2
7,"11/28/99",1,21,3,10,7,5,5,7,0,1,2
8,"11/28/99",1,22,1,10,8,8,5,7,1,1,2
9,"11/28/99",1,22,2,15,10,5,5,7,0,2,2
10,"11/28/99",1,22,3,20,15,10,5,7,2,1,2
11,"11/28/99",1,23,1,10,10,10,8,4,1,1,2
12,"11/28/99",1,23,2,10,10,8,8,3,0,1,2
13,"11/28/99",1,23,3,10,10,8,8,5,0,1,2
14,"11/28/99",1,24,1,9,9,8,8,3,0,2,1
15,"11/28/99",1,24,2,9,9,8,8,1,0,2,2
16,"11/28/99",1,24,3,9,9,8,8,1,0,1,2
17,"11/28/99",1,25,1,10,10,10,10,2,0,2,1
18,"11/28/99",1,25,2,10,10,10,10,4,0,2,2
19,"11/28/99",1,25,3,10,10,10,10,1,0,2,2
20,"11/28/99",1,25,4,10,10,10,10,0,0,2,2
1,"11/20/99",1,26,1,120,120,120,120,3,0,2,2
2,"11/20/99",1,26,2,120,120,120,120,3,0,2,2
3,"11/20/99",1,26,3,120,120,120,120,1,2,2,2
4,"11/28/95",1,27,1,10,10,10,10,4,2,1,2
5,"11/28/95",1,27,2,10,10,10,10,4,0,2,2
6,"11/28/95",1,27,3,10,10,10,10,3,0,2,2
7,"11/28/95",1,28,1,10,10,10,10,1,0,2,2
8,"11/28/95",1,28,2,12,12,12,12,4,1,1,2
9,"11/28/95",1,28,3,12,12,12,12,3,0,2,2
10,"11/28/95",1,28,4,10,10,5,10,0,0,2,2
11,"11/28/95",1,29,1,120,100,100,60,4,0,2,2
12,"11/28/95",1,29,2,10,8,8,5,3,0,2,2
13,"11/28/95",1,29,3,120,100,100,60,3,0,2,2
14,"11/28/95",1,30,1,20,15,10,10,3,0,1,2
15,"11/28/95",1,30,2,20,15,10,10,3,0,2,2
16,"11/28/95",1,30,3,20,15,10,10,3,1,1,2
17,"11/28/95",1,31,1,10,10,8,8,4,0,2,1
18,"11/28/95",1,31,2,13,12,8,8,4,0,2,2
19,"11/28/95",1,31,3,8,8,4,4,6,0,2,2
20,"11/28/95",1,32,1,7,5,4,4,3,0,2,2
21,"11/28/95",1,32,2,8,6,4,3,3,0,1,2
22,"11/28/95",1,32,3,8,6,4,3,3,0,2,2
