"casenum","date","weight_","thana","vill","slno","b8_3","b8_4","b8_5","b8_6"
2,"11/20/99",1,1,1,2,3,7,3,1978
1,"11/20/99",1,1,1,1,3,11,3,1996
4,"11/20/99",1,1,2,2,3,11,3,1997
3,"11/20/99",1,1,2,1,3,3,5,1994
5,"11/27/99",1,1,3,1,3,11,3,1994
7,"11/27/99",1,2,1,2,3,11,5,1999
6,"11/27/99",1,2,1,1,3,1,5,1943
8,"11/27/99",1,2,1,3,3,11,5,1983
9,"11/27/99",1,2,2,1,3,1,5,1952
10,"11/27/99",1,2,2,2,3,11,5,1997
11,"11/27/99",1,2,2,3,3,19,5,1.79769313486232e+308
12,"11/27/99",1,2,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
13,"11/27/99",1,2,4,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
16,"11/28/99",1,3,1,3,3,5,5,1994
17,"11/28/99",1,3,1,4,1,1,5,1936
14,"11/28/99",1,3,1,1,3,17,10,1924
15,"11/28/99",1,3,1,2,2,1,5,1936
18,"11/28/99",1,3,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
22,"11/28/99",1,3,3,4,3,11,5,1993
20,"11/28/99",1,3,3,2,3,11,5,1995
21,"11/28/99",1,3,3,3,3,5,8,1987
19,"11/28/99",1,3,3,1,3,1,5,1910
23,"11/28/99",1,4,1,1,3,11,1.79769313486232e+308,1.79769313486232e+308
24,"11/28/99",1,4,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
26,"11/28/99",1,4,3,2,3,5,8,1996
25,"11/28/99",1,4,3,1,3,2,5,1970
28,"11/28/99",1,4,4,2,3,11,4,1997
27,"11/28/99",1,4,4,1,3,11,4,1995
31,"11/28/99",1,5,1,3,3,11,3,1996
29,"11/28/99",1,5,1,1,3,1,5,1927
33,"11/28/99",1,5,1,5,3,13,3,1999
32,"11/28/99",1,5,1,4,3,11,3,1996
34,"11/28/99",1,5,1,6,3,13,3,1998
30,"11/28/99",1,5,1,2,3,17,10,1982
40,"11/28/99",1,5,2,6,3,11,5,1980
38,"11/28/99",1,5,2,4,3,13,5,1997
36,"11/28/99",1,5,2,2,3,1,5,1929
37,"11/28/99",1,5,2,3,3,1,5,1942
39,"11/28/99",1,5,2,5,3,13,5,1997
35,"11/28/99",1,5,2,1,3,17,10,1959
43,"11/28/99",1,5,3,3,3,11,3,1988
42,"11/28/99",1,5,3,2,3,11,3,1988
41,"11/28/99",1,5,3,1,3,11,3,1993
44,"11/28/99",1,6,1,1,3,11,5,1.79769313486232e+308
45,"11/28/99",1,6,2,1,3,11,5,1.79769313486232e+308
47,"11/28/99",1,6,3,2,3,11,5,1.79769313486232e+308
46,"11/28/99",1,6,3,1,3,1,5,1918
48,"11/28/99",1,7,1,1,3,1,5,1966
49,"11/28/99",1,7,1,2,3,11,5,1998
50,"11/28/99",1,7,1,3,3,11,5,1995
52,"11/28/99",1,7,1,5,3,11,5,1997
51,"11/28/99",1,7,1,4,3,17,10,1982
53,"11/28/99",1,7,2,1,3,11,5,1995
54,"11/28/99",1,7,2,2,3,2,5,1983
1,"11/30/99",1,7,3,1,3,1,5,1915
2,"11/30/99",1,7,3,2,3,11,5,1999
4,"11/30/99",1,7,4,2,3,17,10,1967
3,"11/30/99",1,7,4,1,3,1,5,1919
5,"11/30/99",1,8,1,1,3,11,5,1999
6,"11/30/99",1,8,1,2,3,11,5,1991
7,"11/30/99",1,8,1,3,3,1,5,1938
8,"11/30/99",1,8,1,4,3,18,10,1984
9,"11/30/99",1,8,2,1,3,11,5,1991
10,"11/30/99",1,8,2,2,3,19,16,1962
12,"11/30/99",1,8,3,2,3,1,5,1973
11,"11/30/99",1,8,3,1,3,11,5,1991
13,"11/30/99",1,9,1,1,3,2,5,1995
15,"11/30/99",1,9,2,2,2,17,10,1989
14,"11/30/99",1,9,2,1,3,1,5,1946
17,"11/30/99",1,9,3,2,3,2,5,1986
16,"11/30/99",1,9,3,1,3,17,10,1990
18,"11/30/99",1,10,1,1,3,17,10,1964
19,"11/30/99",1,10,1,2,3,1,5,1951
20,"11/30/99",1,10,1,3,3,11,3,1996
21,"11/30/99",1,10,2,1,3,2,5,1986
23,"11/30/99",1,10,3,2,3,1,5,1942
24,"11/30/99",1,10,3,3,3,2,5,1987
22,"11/30/99",1,10,3,1,2,18,10,1991
29,"11/30/99",1,11,1,5,3,11,3,1994
30,"11/30/99",1,11,1,6,3,18,10,1994
25,"11/30/99",1,11,1,1,2,17,10,1986
26,"11/30/99",1,11,1,2,3,19,12,1991
27,"11/30/99",1,11,1,3,3,1,5,1973
31,"11/30/99",1,11,1,7,3,7,3,1988
28,"11/30/99",1,11,1,4,3,2,5,1986
35,"11/30/99",1,11,2,3,1,11,5,1999
34,"11/30/99",1,11,2,2,1,2,5,1994
36,"11/30/99",1,11,2,4,1,18,10,1996
33,"11/30/99",1,11,2,1,1,1,5,1952
39,"11/30/99",1,11,3,3,3,15,8,1974
37,"11/30/99",1,11,3,1,1,1,5,1954
38,"11/30/99",1,11,3,2,3,19,5,1990
41,"11/30/99",1,12,1,2,3,11,3,1997
40,"11/30/99",1,12,1,1,3,11,5,1996
42,"11/30/99",1,12,2,1,3,1,5,1938
43,"11/30/99",1,12,3,1,3,11,5,1999
44,"11/30/99",1,13,1,1,3,11,5,1993
45,"11/30/99",1,13,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
47,"11/30/99",1,13,3,2,3,17,10,1977
46,"11/30/99",1,13,3,1,3,1,5,1970
49,"11/28/95",1,14,1,4,1,19,14,1932
47,"11/28/95",1,14,1,2,3,1,5,1939
48,"11/28/95",1,14,1,3,2,18,10,1980
46,"11/28/95",1,14,1,1,3,1,5,1944
50,"11/28/95",1,14,1,5,3,2,5,1990
56,"11/28/95",1,14,2,6,3,17,10,1984
51,"11/28/95",1,14,2,1,3,1,5,1973
53,"11/28/95",1,14,2,3,3,13,5,1997
52,"11/28/95",1,14,2,2,3,11,5,1997
54,"11/28/95",1,14,2,4,3,17,10,1928
55,"11/28/95",1,14,2,5,3,2,5,1974
61,"11/28/95",1,14,3,5,3,1,5,1930
57,"11/28/95",1,14,3,1,3,17,10,1984
58,"11/28/95",1,14,3,2,3,17,10,1994
62,"11/28/95",1,14,3,6,3,18,10,1985
59,"11/28/95",1,14,3,3,3,1,5,1940
60,"11/28/95",1,14,3,4,3,1,5,1925
63,"11/28/95",1,15,1,1,3,1,5,1882
64,"11/28/95",1,15,1,2,3,11,1.79769313486232e+308,1.79769313486232e+308
68,"11/28/95",1,15,2,4,3,11,2,1992
66,"11/28/95",1,15,2,2,3,1,5,1929
65,"11/28/95",1,15,2,1,3,17,10,1967
67,"11/28/95",1,15,2,3,3,18,10,1994
69,"11/28/95",1,15,2,5,3,10,2,1996
71,"11/28/95",1,15,3,1,3,1,5,1888
72,"11/28/95",1,15,3,2,3,11,5,1.79769313486232e+308
55,"11/28/99",1,16,1,1,3,2,5,1988
56,"11/28/99",1,16,2,1,3,1,5,1930
58,"11/28/99",1,16,3,2,3,13,5,1995
57,"11/28/99",1,16,3,1,3,14,5,1996
61,"11/28/99",1,17,1,3,3,10,3,1998
60,"11/28/99",1,17,1,2,3,1,5,1931
59,"11/28/99",1,17,1,1,3,17,10,1986
48,"11/30/99",1,17,2,1,3,1,5,1948
49,"11/30/99",1,17,3,1,3,1,5,1950
50,"11/30/99",1,17,4,1,3,2,5,1985
51,"11/30/99",1,18,1,1,3,1,5,1939
52,"11/30/99",1,18,1,2,3,17,10,1929
53,"11/30/99",1,18,2,1,3,2,5,1992
54,"11/30/99",1,18,2,2,3,19,2,1998
40,"11/28/99",1,18,3,3,3,17,10,1996
