"casenum","date","weight_","hhcode","crisisid","crisisde","loss","hcf1","hcf2","exp"
50,"6/06/99",1,110111,1,"Death of primary income eraner",1.79769313486232e+308,4,2,8500
51,"6/06/99",1,110111,2,"Crop damage",1500,1,1.79769313486232e+308,1.79769313486232e+308
52,"6/06/99",1,110112,8,"Huge expenditure due to illness",7000,2,7,5000
53,"6/06/99",1,110112,9,"Loss of money",1700,1,1.79769313486232e+308,0
76,"6/06/99",1,110141,2,"Crop damage",7000,2,1.79769313486232e+308,1500
77,"6/06/99",1,110141,5,"Death of cow/buffalo",7000,7,1.79769313486232e+308,3500
78,"6/06/99",1,110141,8,"Huge expenditure due to illness",1.79769313486232e+308,2,1.79769313486232e+308,1500
84,"6/06/99",1,110151,2,"Crop damage",2000,2,1.79769313486232e+308,1200
85,"6/06/99",1,110151,6,"Damage to house/land due to erosion",25000,1,1.79769313486232e+308,1.79769313486232e+308
54,"6/06/99",1,110211,24,"Expenditure for daughter's marriage",1.79769313486232e+308,2,1.79769313486232e+308,18500
79,"6/06/99",1,110241,8,"Huge expenditure due to illness",1.79769313486232e+308,2,1.79769313486232e+308,3000
86,"6/06/99",1,110251,2,"Crop damage",30000,2,1.79769313486232e+308,7000
87,"6/06/99",1,110251,3,"Burglery/Theft",16000,1,1.79769313486232e+308,1.79769313486232e+308
88,"6/06/99",1,110251,5,"Death of cow/buffalo",5000,2,1.79769313486232e+308,250
55,"6/06/99",1,110311,1,"Death of primary income eraner",1.79769313486232e+308,1,1.79769313486232e+308,2000
80,"6/06/99",1,110341,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
89,"6/06/99",1,110351,2,"Crop damage",10000,2,1.79769313486232e+308,500
90,"6/06/99",1,110352,2,"Crop damage",8000,2,1.79769313486232e+308,2000
91,"6/06/99",1,110352,8,"Huge expenditure due to illness",1.79769313486232e+308,2,1.79769313486232e+308,600
56,"6/06/99",1,110411,2,"Crop damage",5000,2,4,5000
57,"6/06/99",1,110411,8,"Huge expenditure due to illness",52000,2,3,52000
81,"6/06/99",1,110441,8,"Huge expenditure due to illness",1.79769313486232e+308,2,1.79769313486232e+308,600
92,"6/06/99",1,110459,2,"Crop damage",10000,2,1.79769313486232e+308,3000
93,"6/06/99",1,110459,8,"Huge expenditure due to illness",1.79769313486232e+308,2,1.79769313486232e+308,2000
58,"6/06/99",1,110511,2,"Crop damage",25000,1.79769313486232e+308,1.79769313486232e+308,7000
59,"6/06/99",1,110511,8,"Huge expenditure due to illness",1500,2,1.79769313486232e+308,1000
82,"6/06/99",1,110541,2,"Crop damage",5000,2,1.79769313486232e+308,1500
83,"6/06/99",1,110542,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
60,"6/06/99",1,110611,2,"Crop damage",15000,2,5,6000
61,"6/06/99",1,110612,2,"Crop damage",1500,2,1.79769313486232e+308,350
62,"6/06/99",1,110612,8,"Huge expenditure due to illness",1.79769313486232e+308,2,1.79769313486232e+308,9000
63,"6/06/99",1,110711,3,"Burglery/Theft",1000,2,1.79769313486232e+308,800
64,"6/06/99",1,110711,9,"Loss of money",640,2,1.79769313486232e+308,200
65,"6/06/99",1,110711,13,"Unnatural death of family member",1.79769313486232e+308,2,1.79769313486232e+308,700
66,"6/06/99",1,110811,1,"Death of primary income eraner",1.79769313486232e+308,1,1.79769313486232e+308,6000
67,"6/06/99",1,110811,2,"Crop damage",4500,2,1.79769313486232e+308,1500
68,"6/06/99",1,110811,30,"Others",2000,1,1.79769313486232e+308,1.79769313486232e+308
69,"6/06/99",1,110911,8,"Huge expenditure due to illness",2500,2,5,2000
70,"6/06/99",1,111011,2,"Crop damage",7000,2,5,2000
71,"6/06/99",1,111111,2,"Crop damage",2000,2,1.79769313486232e+308,700
72,"6/06/99",1,111211,1,"Death of primary income eraner",1.79769313486232e+308,1,1.79769313486232e+308,1.79769313486232e+308
73,"6/06/99",1,111211,2,"Crop damage",8000,2,1.79769313486232e+308,5000
74,"6/06/99",1,111211,5,"Death of cow/buffalo",15000,2,1.79769313486232e+308,200
75,"6/06/99",1,111211,8,"Huge expenditure due to illness",1.79769313486232e+308,2,1.79769313486232e+308,5000
28,"7/22/99",1,120111,7,"Damage to house/land due to cyclone",2500,23,1.79769313486232e+308,2500
29,"7/22/99",1,120111,24,"Expenditure for daughter's marriage",3000,5,1.79769313486232e+308,3000
49,"7/22/99",1,120141,2,"Crop damage",2000,2,1.79769313486232e+308,500
56,"7/22/99",1,120151,2,"Crop damage",2000,2,1.79769313486232e+308,500
57,"7/22/99",1,120151,3,"Burglery/Theft",1000,1,1.79769313486232e+308,1.79769313486232e+308
58,"7/22/99",1,120152,2,"Crop damage",2000,2,1.79769313486232e+308,500
59,"7/22/99",1,120152,8,"Huge expenditure due to illness",1.79769313486232e+308,2,1.79769313486232e+308,8000
30,"7/22/99",1,120211,3,"Burglery/Theft",55000,7,1.79769313486232e+308,1.79769313486232e+308
31,"7/22/99",1,120211,8,"Huge expenditure due to illness",1.79769313486232e+308,2,1.79769313486232e+308,3000
32,"7/22/99",1,120212,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
50,"7/22/99",1,120241,2,"Crop damage",7000,2,1.79769313486232e+308,1200
51,"7/22/99",1,120241,6,"Damage to house/land due to erosion",4000,1,1.79769313486232e+308,1.79769313486232e+308
52,"7/22/99",1,120242,2,"Crop damage",5000,2,1.79769313486232e+308,1000
53,"7/22/99",1,120242,8,"Huge expenditure due to illness",1.79769313486232e+308,2,1.79769313486232e+308,500
60,"7/22/99",1,120251,2,"Crop damage",6000,2,1.79769313486232e+308,1500
61,"7/22/99",1,120351,6,"Damage to house/land due to erosion",15000,2,1.79769313486232e+308,10000
33,"7/22/99",1,120411,2,"Crop damage",12000,1,1.79769313486232e+308,1.79769313486232e+308
34,"7/22/99",1,120411,5,"Death of cow/buffalo",100,1,1.79769313486232e+308,1.79769313486232e+308
54,"7/22/99",1,120441,2,"Crop damage",1200,1,1.79769313486232e+308,1.79769313486232e+308
