"casenum","date","weight_","hhcode","pid","oedid","oedde","s12_4q21","s12_4q22","s12_4q31","s12_4q32","s12_4q41","s12_4q42","s12_4q51","s12_4q52","s12_4q61","s12_4q62","s12_4q71","s12_4q72"
65,"11/02/99",1,120212,1,1,"Purchased",1.79769313486232e+308,300,1.79769313486232e+308,1.79769313486232e+308,50,2000,200,400,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1600
67,"11/02/99",1,120251,1,2,"Inherited",150,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,500,1.79769313486232e+308,300,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
66,"11/02/99",1,120251,1,1,"Purchased",1.79769313486232e+308,350,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,3500,1.79769313486232e+308,2000,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4300
55,"11/02/99",1,130141,1,1,"Purchased",100,170,1.79769313486232e+308,1.79769313486232e+308,700,1000,500,700,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,300
56,"11/02/99",1,130141,1,2,"Inherited",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,150,150,1.79769313486232e+308,1.79769313486232e+308
60,"11/02/99",1,130151,1,2,"Inherited",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,200,200,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
59,"11/02/99",1,130151,1,1,"Purchased",100,150,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1200,1.79769313486232e+308,1000,1.79769313486232e+308,1.79769313486232e+308,1200,1200
61,"11/02/99",1,130151,1,3,"Obtained as gift",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,400,400,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
57,"11/02/99",1,130241,1,1,"Purchased",180,180,1.79769313486232e+308,1.79769313486232e+308,2500,4200,600,900,1.79769313486232e+308,350,2000,3450
58,"11/02/99",1,130241,1,2,"Inherited",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,3000,3000
63,"11/02/99",1,130541,1,2,"Inherited",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1500,1500,500,500,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
62,"11/02/99",1,130541,1,1,"Purchased",1.79769313486232e+308,250,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,200,1.79769313486232e+308,600,1.79769313486232e+308,100,1.79769313486232e+308,150
64,"11/02/99",1,130712,1,1,"Purchased",1.79769313486232e+308,70,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2500,1.79769313486232e+308,800,1.79769313486232e+308,200,1.79769313486232e+308,500
70,"11/02/99",1,210251,1,1,"Purchased",500,500,1.79769313486232e+308,1.79769313486232e+308,30000,30000,2000,2000,250,250,15000,15000
71,"11/02/99",1,240119,1,1,"Purchased",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,100,500,150,400,1.79769313486232e+308,1.79769313486232e+308,240,240
72,"11/02/99",1,240219,1,1,"Purchased",200,300,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,350,300,100,1.79769313486232e+308,1.79769313486232e+308,600,600
73,"11/02/99",1,240319,1,1,"Purchased",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,80,250,100,350,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
74,"11/02/99",1,240419,1,1,"Purchased",150,150,1.79769313486232e+308,1.79769313486232e+308,300,800,80,250,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
75,"11/02/99",1,240519,1,1,"Purchased",80,80,1.79769313486232e+308,1.79769313486232e+308,350,750,70,250,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
76,"11/02/99",1,240619,1,1,"Purchased",80,110,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,200,100,400,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
77,"11/02/99",1,240719,1,1,"Purchased",40,40,1.79769313486232e+308,1.79769313486232e+308,150,500,100,400,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
79,"11/02/99",1,240819,1,3,"Obtained as gift",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4000,1.79769313486232e+308,1.79769313486232e+308
78,"11/02/99",1,240819,1,1,"Purchased",1.79769313486232e+308,250,1.79769313486232e+308,1.79769313486232e+308,1000,4000,200,1000,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
80,"11/02/99",1,240919,2,1,"Purchased",80,80,1.79769313486232e+308,1.79769313486232e+308,300,800,1.79769313486232e+308,250,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
81,"11/02/99",1,241019,1,1,"Purchased",800,1200,1.79769313486232e+308,1.79769313486232e+308,1000,2000,500,1500,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
87,"11/02/99",1,310251,1,1,"Purchased",350,350,1.79769313486232e+308,1.79769313486232e+308,4000,10000,600,600,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
88,"11/02/99",1,310251,2,3,"Obtained as gift",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,12000,12000
89,"11/02/99",1,320441,1,1,"Purchased",300,300,450,450,1.79769313486232e+308,1.79769313486232e+308,400,500,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
90,"11/02/99",1,320441,2,1,"Purchased",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,200
91,"11/02/99",1,330141,1,1,"Purchased",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,500,500,450,450,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
92,"11/02/99",1,330541,1,1,"Purchased",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,500,1100,400,700,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
96,"11/02/99",1,410251,1,1,"Purchased",150,300,1.79769313486232e+308,1.79769313486232e+308,2000,3000,300,600,1.79769313486232e+308,300,1.79769313486232e+308,1.79769313486232e+308
97,"11/02/99",1,410251,2,1,"Purchased",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2000,6000
94,"11/02/99",1,410341,1,2,"Inherited",200,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,200,200,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
95,"11/02/99",1,410341,2,3,"Obtained as gift",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,700,700
