"casenum","date","weight_","hhcode","pid","respid","s13_1q3","s13_1q4","s13_1q5","s13_1q6","s13_1q7","s13_1q8","s13_1q9","s13_1q10","s13_1q11"
64,"6/06/99",1,110111,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
65,"6/06/99",1,110112,2,2,1,18,16200,0,0.200000002980232,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
87,"6/06/99",1,110141,2,1,1,14,10000,0,12,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
95,"6/06/99",1,110151,2,2,1,18,9000,0,9,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
66,"6/06/99",1,110211,5,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
88,"6/06/99",1,110241,2,2,1,18,0,0,4,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
96,"6/06/99",1,110251,2,1,1,14,0,0,33,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
97,"6/06/99",1,110251,5,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
98,"6/06/99",1,110251,10,1,1,13,0,0,2,2,2,1995,5
67,"6/06/99",1,110311,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
89,"6/06/99",1,110341,2,2,1,17,5000,0,7,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
90,"6/06/99",1,110341,3,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
99,"6/06/99",1,110351,2,2,1,16,11000,0,7,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
1.79769313486232e+308,"8/18/99",1,110351,3,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
1.79769313486232e+308,"8/18/99",1,110351,4,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
100,"6/06/99",1,110352,2,2,1,18,19000,0,5,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
68,"6/06/99",1,110411,2,2,1,16,0,0,8,36,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
69,"6/06/99",1,110411,4,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
92,"6/06/99",1,110441,3,3,1,17,6000,0,40,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
101,"6/06/99",1,110459,2,1,1,17,0,0,0.100000001490116,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
70,"6/06/99",1,110511,2,2,1,18,500,0,9,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
71,"6/06/99",1,110511,4,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
93,"6/06/99",1,110541,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
94,"6/06/99",1,110542,2,2,1,14,9100,0,2,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
72,"6/06/99",1,110611,2,2,1,18,3000,0,0,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
73,"6/06/99",1,110611,3,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
74,"6/06/99",1,110612,2,2,1,15,0,0,20,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
75,"6/06/99",1,110612,3,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
76,"6/06/99",1,110711,6,3,1,22,4000,0,35,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
77,"6/06/99",1,110811,7,2,1,15,10000,0,5,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
78,"6/06/99",1,110911,1,1,1,26,0,0,10,132,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
79,"6/06/99",1,111011,2,2,1,18,1000,0,0.25,12,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
80,"6/06/99",1,111011,5,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
81,"6/06/99",1,111011,6,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
82,"6/06/99",1,111111,4,4,1,14,7000,0,7,6,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
86,"6/06/99",1,111211,7,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
83,"6/06/99",1,111211,11,2,1,19,6000,0,2,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
84,"6/06/99",1,111211,12,2,1,18,15000,0,4,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
85,"6/06/99",1,111211,13,2,1,16,10000,0,0.100000001490116,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
33,"7/23/99",1,120111,2,2,1,14,0,0,8,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
55,"7/23/99",1,120141,2,2,1,24,1000,0,7,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
1.79769313486232e+308,".",1.79769313486232e+308,120141,6,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
61,"7/23/99",1,120151,6,6,1,22,32000,0,10,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
62,"7/23/99",1,120152,3,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
34,"7/23/99",1,120211,7,7,1,16,3000,0,5,228,2,1980,2
35,"7/23/99",1,120212,2,2,1,16,1200,0,45,10,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
56,"7/23/99",1,120241,2,2,1,14,0,0,0.00999999977648258,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
57,"7/23/99",1,120241,4,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
58,"7/23/99",1,120242,2,2,1,19,7000,0,9,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
63,"7/23/99",1,120251,2,2,1,20,2500,0,15,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
64,"7/23/99",1,120251,3,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
