"casenum","date","weight_","hhcode","pid","responid","s13_2q3","s13_2q4","s13_2q5","s13_2q6","s13_2q7","s13_2q8","s13_2q9","s13_2q10"
54,"6/06/99",1,110111,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
53,"6/06/99",1,110112,2,2,2,1.79769313486232e+308,1,1,5,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
69,"6/06/99",1,110141,2,1,2,1.79769313486232e+308,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,5
75,"6/06/99",1,110151,2,2,2,1.79769313486232e+308,1,1,5,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
55,"6/06/99",1,110211,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
70,"6/06/99",1,110241,2,2,2,1.79769313486232e+308,1,1,8,1981,1.79769313486232e+308,1.79769313486232e+308
76,"6/06/99",1,110251,2,1,2,1.79769313486232e+308,1,1,5,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
77,"6/06/99",1,110251,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
56,"6/06/99",1,110311,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
71,"6/06/99",1,110341,2,2,2,1.79769313486232e+308,1,1,5,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
78,"6/06/99",1,110351,2,2,2,1.79769313486232e+308,1,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
79,"6/06/99",1,110352,2,2,1,9,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,5
57,"6/06/99",1,110411,2,2,2,1.79769313486232e+308,1,1,10,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
72,"6/06/99",1,110441,3,3,2,1.79769313486232e+308,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,5
80,"6/06/99",1,110459,2,1,2,1.79769313486232e+308,1,1,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
58,"6/06/99",1,110511,2,2,2,1.79769313486232e+308,1,1,5,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
73,"6/06/99",1,110541,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
74,"6/06/99",1,110542,2,2,2,1.79769313486232e+308,1,1,5,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
59,"6/06/99",1,110611,2,2,2,1.79769313486232e+308,1,1,5,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
60,"6/06/99",1,110612,2,2,2,1.79769313486232e+308,1,1,8,1986,8,1.79769313486232e+308
61,"6/06/99",1,110711,6,6,2,1.79769313486232e+308,1,1,5,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
62,"6/06/99",1,110811,7,2,2,1.79769313486232e+308,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,5
