"casenum","date","weight_","hhcode","pid","s1_2q3","s1_2q4","s1_2q5","s1_2q6","s1_2q7"
68,"6/04/99",1,110111,1,1,1.79769313486232e+308,1998,7,1.79769313486232e+308
69,"6/04/99",1,110111,3,1,1.79769313486232e+308,1998,10,1.79769313486232e+308
70,"6/04/99",1,110111,4,5,1,1998,9,3
71,"6/04/99",1,110112,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
91,"6/04/99",1,110141,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
97,"6/04/99",1,110151,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
72,"6/04/99",1,110211,3,2,5,1995,2,4
73,"6/04/99",1,110211,4,2,3,1998,10,4
92,"6/04/99",1,110241,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
98,"6/04/99",1,110251,4,2,6,1995,11,4
99,"6/04/99",1,110251,7,6,2,1994,1.79769313486232e+308,4
101,"6/04/99",1,110251,8,6,3,1995,1.79769313486232e+308,4
74,"6/04/99",1,110311,1,1,1.79769313486232e+308,1996,10,1.79769313486232e+308
93,"6/04/99",1,110341,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
102,"6/04/99",1,110351,6,5,1,1994,5,3
103,"6/04/99",1,110351,7,5,1,1994,5,2
104,"6/04/99",1,110352,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
75,"6/04/99",1,110411,3,2,3,1993,4,4
94,"6/04/99",1,110441,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
105,"6/04/99",1,110459,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
76,"6/04/99",1,110511,3,1,1.79769313486232e+308,1993,4,1.79769313486232e+308
95,"6/04/99",1,110541,3,5,1,1998,11,3
96,"6/04/99",1,110542,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
77,"6/04/99",1,110611,5,5,1,1993,3,3
78,"6/04/99",1,110611,6,5,1,1993,3,3
79,"6/04/99",1,110611,7,5,1,1993,3,3
80,"6/04/99",1,110611,8,5,1,1993,3,3
81,"6/04/99",1,110611,9,5,1,1993,3,3
82,"6/04/99",1,110611,10,1,1.79769313486232e+308,1996,1,1.79769313486232e+308
83,"6/04/99",1,110612,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
1.79769313486232e+308,"9/01/99",1,110711,2,5,5,1995,6,4
84,"6/04/99",1,110711,4,4,4,1993,7,4
