"casenum","date","weight_","hhcode","pid","s1_3q3","s1_3q4","s1_3q5","s1_3q6"
70,"6/04/99",1,110111,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
71,"6/04/99",1,110112,2,2,1997,2,3
1.79769313486232e+308,"",1.79769313486232e+308,110112,3,1,1998,5,1.79769313486232e+308
91,"6/04/99",1,110141,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
99,"6/04/99",1,110151,4,1,1995,5,1.79769313486232e+308
100,"6/04/99",1,110151,5,3,1995,1,3
72,"6/04/99",1,110211,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
92,"6/04/99",1,110241,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
101,"6/04/99",1,110251,9,6,1998,11,3
102,"6/04/99",1,110251,10,6,1995,12,3
103,"6/04/99",1,110251,11,7,1995,12,3
73,"6/04/99",1,110311,4,3,1998,8,5
93,"6/04/99",1,110341,6,1,1993,2,1.79769313486232e+308
104,"6/04/99",1,110351,9,5,1997,2,3
105,"6/04/99",1,110352,2,2,1995,2,3
1.79769313486232e+308,"8/14/99",1,110352,3,1,1996,8,1.79769313486232e+308
74,"6/04/99",1,110411,5,3,1996,2,1.79769313486232e+308
94,"6/04/99",1,110441,3,2,1994,3,2
95,"6/04/99",1,110441,4,1,1995,4,1.79769313486232e+308
96,"6/04/99",1,110441,5,1,1998,5,1.79769313486232e+308
106,"6/04/99",1,110459,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
75,"6/04/99",1,110511,5,1,1992,7,1.79769313486232e+308
76,"6/04/99",1,110511,6,1,1995,6,1.79769313486232e+308
77,"6/04/99",1,110511,7,1,1997,9,1.79769313486232e+308
97,"6/04/99",1,110541,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
1.79769313486232e+308,"8/14/99",1,110542,2,2,1998,7,3
98,"6/04/99",1,110542,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
78,"6/04/99",1,110611,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
79,"6/04/99",1,110612,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
80,"6/04/99",1,110711,5,1,1995,8,1.79769313486232e+308
1.79769313486232e+308,"8/14/99",1,110711,6,2,1996,11,5
81,"6/04/99",1,110811,7,2,1998,5,3
