"casenum","date","weight_","hhcode","pid","s4_1q2","s4_1q3","s4_1q4","s4_1q5","s4_1q6","s4_1q7"
74,"6/04/99",1,110111,2,104,12,30,2,30,2
72,"6/04/99",1,110111,5,101,5,3,6,3,8
73,"6/04/99",1,110111,6,101,4,3,6,1.79769313486232e+308,1.79769313486232e+308
78,"6/04/99",1,110112,2,104,5,30,1,30,1
110,"6/04/99",1,110141,1,101,8,15,10,27,10
111,"6/04/99",1,110141,2,104,12,27,3,30,3
118,"6/04/99",1,110151,1,101,10,22,1,27,1
119,"6/04/99",1,110151,1,104,12,28,1,28,1
120,"6/04/99",1,110151,2,104,12,28,2,28,2
75,"6/04/99",1,110211,2,104,12,28,2,30,2
76,"6/04/99",1,110211,5,104,7,25,2,27,3
77,"6/04/99",1,110211,6,104,7,8,2,7,2
112,"6/04/99",1,110241,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
122,"6/04/99",1,110251,1,101,10,5,1,15,1
121,"6/04/99",1,110251,9,101,12,29,12,30,12
123,"6/04/99",1,110251,10,101,10,15,4,20,6
79,"6/04/99",1,110311,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
113,"6/04/99",1,110341,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
125,"6/04/99",1,110351,1,101,10,12,1,10,1
124,"6/04/99",1,110351,2,101,8,15,6,12,4
126,"6/04/99",1,110352,1,101,8,25,5,28,6
127,"6/04/99",1,110352,2,101,6,15,4,18,4
80,"6/04/99",1,110411,1,101,4,14,10,15,12
81,"6/04/99",1,110411,2,101,9,20,4,28,6
83,"6/04/99",1,110411,2,104,12,28,3,28,3
82,"6/04/99",1,110411,4,101,9,20,3,25,3
114,"6/04/99",1,110441,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
128,"6/04/99",1,110459,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
86,"6/04/99",1,110511,1,104,12,25,2,28,2
84,"6/04/99",1,110511,1,101,12,25,10,28,11
85,"6/04/99",1,110511,2,101,12,28,5,28,3
87,"6/04/99",1,110511,2,104,12,28,2,28,2
115,"6/04/99",1,110541,1,101,8,18,5,28,10
116,"6/04/99",1,110541,2,101,6,15,3,1.79769313486232e+308,1.79769313486232e+308
117,"6/04/99",1,110542,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
88,"6/04/99",1,110611,1,101,10,8,2,10,2
90,"6/04/99",1,110611,2,104,12,28,4,28,4
89,"6/04/99",1,110611,2,101,10,28,4,22,4
91,"6/04/99",1,110612,1,101,10,16,1,15,1
92,"6/04/99",1,110612,2,101,10,12,4,15,4
93,"6/04/99",1,110612,4,101,10,10,1,1.79769313486232e+308,1.79769313486232e+308
94,"6/04/99",1,110711,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
97,"6/04/99",1,110811,2,101,11,15,7,7,5
95,"6/04/99",1,110811,3,101,11,12,10,15,10
96,"6/04/99",1,110811,6,101,11,20,10,25,10
98,"6/04/99",1,110911,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
99,"6/04/99",1,111011,1,101,10,12,10,12,6
101,"6/04/99",1,111011,2,104,12,28,4,30,4
100,"6/04/99",1,111011,3,101,10,10,8,17,7
102,"6/04/99",1,111111,1,101,3,2,6,1.79769313486232e+308,1.79769313486232e+308
108,"6/04/99",1,111211,2,101,9,15,4,10,5
103,"6/04/99",1,111211,3,101,10,12,6,25,6
104,"6/04/99",1,111211,5,101,10,12,6,25,6
105,"6/04/99",1,111211,6,101,10,20,4,22,5
106,"6/04/99",1,111211,8,101,10,20,3,22,3
107,"6/04/99",1,111211,9,104,10,20,3,22,3
109,"6/04/99",1,111211,11,101,9,15,4,10,5
76,"7/21/99",1,120111,1,103,4,27,6,27,6
52,"7/21/99",1,120141,1,101,6,15,4,18,4
53,"7/21/99",1,120141,6,104,7,25,3,26,3
54,"7/21/99",1,120141,7,104,7,25,3,26,3
66,"7/21/99",1,120151,1,104,6,20,2,1.79769313486232e+308,1.79769313486232e+308
