"casenum","date","weight_","hhcode","cropid","cropde","s5_1q14","s5_1q15","s5_1q16","s5_1q17","s5_1q18","s5_1q19","s5_1q20","s5_1q21","s5_1q22","s5_1q23","s5_1q24"
61,"6/04/99",1,110111,1,"Lacal Aus",20,0,4,1200,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
62,"6/04/99",1,110111,2,"HYV Aus",13,13,5.5,1925,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
63,"6/04/99",1,110111,8,"Wheat",20,0,7,2800,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
64,"6/04/99",1,110111,11,"Jute",13,0,2,500,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
65,"6/04/99",1,110111,16,"Pulses",13,0,1,800,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
1.79769313486232e+308,"",1.79769313486232e+308,110111,97,"Mortgage Value",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2400
68,"6/04/99",1,110112,1,"Lacal Aus",10,0,2,600,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
69,"6/04/99",1,110112,2,"HYV Aus",7,7,2.5,875,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
70,"6/04/99",1,110112,8,"Wheat",10,0,3,1200,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
71,"6/04/99",1,110112,11,"Jute",7,0,1,250,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
72,"6/04/99",1,110112,16,"Pulses",7,0,0.5,400,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
1.79769313486232e+308,"",1.79769313486232e+308,110112,97,"Mortgage Value",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2400
97,"6/04/99",1,110141,3,"Local Aman",18,0,0,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
98,"6/04/99",1,110141,6,"HYV Boro",18,18,12,3600,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
99,"6/04/99",1,110141,17,"Oil Seeds",18,0,2,1400,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
1.79769313486232e+308,"",1.79769313486232e+308,110141,97,"Mortgage Value",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,900
105,"6/04/99",1,110151,1,"Lacal Aus",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,84,0,10,5,1600,0,1.79769313486232e+308
106,"6/04/99",1,110151,3,"Local Aman",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,25,25,3,1.5,525,0,1.79769313486232e+308
107,"6/04/99",1,110151,11,"Jute",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,48,0,8,4,1000,0,1.79769313486232e+308
108,"6/04/99",1,110151,16,"Pulses",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,30,0,3,1.5,1200,0,1.79769313486232e+308
67,"6/04/99",1,110211,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
100,"6/04/99",1,110241,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
109,"6/04/99",1,110251,1,"Lacal Aus",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,66,0,6,3,960,0,1.79769313486232e+308
110,"6/04/99",1,110251,4,"HYV Aman",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,33,33,0,0,0,0,1.79769313486232e+308
111,"6/04/99",1,110251,6,"HYV Boro",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,33,33,14,7,2240,10,1.79769313486232e+308
112,"6/04/99",1,110251,8,"Wheat",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,33,0,5,2.5,900,0,1.79769313486232e+308
113,"6/04/99",1,110251,16,"Pulses",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,33,0,3,1.5,1200,0,1.79769313486232e+308
114,"6/04/99",1,110251,17,"Oil Seeds",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,66,0,4,2,1600,10,1.79769313486232e+308
74,"6/04/99",1,110311,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
101,"6/04/99",1,110341,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
115,"6/04/99",1,110351,1,"Lacal Aus",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,33,0,0,0,0,0,1.79769313486232e+308
116,"6/04/99",1,110351,3,"Local Aman",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,165,0,0,0,0,0,1.79769313486232e+308
117,"6/04/99",1,110351,6,"HYV Boro",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,42,42,24,12,3840,50,1.79769313486232e+308
118,"6/04/99",1,110351,8,"Wheat",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,50,0,10,5,1750,25,1.79769313486232e+308
119,"6/04/99",1,110351,11,"Jute",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,42,0,2,1,180,0,1.79769313486232e+308
120,"6/04/99",1,110351,16,"Pulses",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,33,0,2,1,840,0,1.79769313486232e+308
121,"6/04/99",1,110352,1,"Lacal Aus",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,100,0,6,3,900,0,1.79769313486232e+308
122,"6/04/99",1,110352,3,"Local Aman",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,100,0,0,0,0,0,1.79769313486232e+308
123,"6/04/99",1,110352,8,"Wheat",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,35,0,7,3.5,1260,20,1.79769313486232e+308
124,"6/04/99",1,110352,11,"Jute",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,50,0,0,0,0,0,1.79769313486232e+308
125,"6/04/99",1,110352,16,"Pulses",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,42,0,2,1,800,0,1.79769313486232e+308
75,"6/04/99",1,110411,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
102,"6/04/99",1,110441,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
126,"6/04/99",1,110459,1,"Lacal Aus",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,62,0,6,3,960,0,1.79769313486232e+308
127,"6/04/99",1,110459,3,"Local Aman",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,165,165,0,0,0,30,1.79769313486232e+308
128,"6/04/99",1,110459,6,"HYV Boro",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,49,49,32,16,5120,30,1.79769313486232e+308
129,"6/04/99",1,110459,8,"Wheat",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,82.5,0,20,10,4000,20,1.79769313486232e+308
130,"6/04/99",1,110459,11,"Jute",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,82.5,0,16,8,2000,0,1.79769313486232e+308
131,"6/04/99",1,110459,16,"Pulses",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,22,0,0.200000002980232,0.100000001490116,200,0,1.79769313486232e+308
132,"6/04/99",1,110459,18,"Vegetables",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,66,0,8,4,3200,20,1.79769313486232e+308
76,"6/04/99",1,110511,8,"Wheat",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,50,0,10,5,1800,35,1.79769313486232e+308
103,"6/04/99",1,110541,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
104,"6/04/99",1,110542,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
77,"6/04/99",1,110611,1,"Lacal Aus",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,30,0,3,1.5,420,0,1.79769313486232e+308
78,"6/04/99",1,110611,12,"Cotton",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,10,0,0,0,0,0,1.79769313486232e+308
