"casenum","date","weight_","hhcode","animalid","animalde","s7_2q2","s7_2q3","s7_2q4","s7_2q5","s7_2q6","s7_2q7","s7_2q8","s7_2q9","s7_2q10","s7_2q11","s7_2q12","s7_2q13","s7_2q14"
117,"6/05/99",1,110111,3,"Goat (number)",3,2800,2,1300,1,500,2,2000,0,0,25,0,0
118,"6/05/99",1,110111,6,"Chicken (number",5,350,9,325,7,175,2,140,1,70,75,0,0
121,"6/05/99",1,110112,5,"Duck (number)",2,120,4,280,5,60,1,50,2,120,50,0,0
143,"6/05/99",1,110141,1,"Cow (number)",2,14000,2,10000,1,2000,0,0,1,7000,2300,0,0
144,"6/05/99",1,110141,6,"Chicken (number",4,320,8,300,11,330,9,450,2,120,125,0,0
150,"6/05/99",1,110151,1,"Cow (number)",2,12000,2,5500,1,1500,1,6000,0,0,1500,0,0
151,"6/05/99",1,110151,6,"Chicken (number",7,420,1,70,35,875,36,1800,5,200,150,0,0
119,"6/05/99",1,110211,1,"Cow (number)",1,2400,1,6200,0,0,0,0,0,0,250,0,0
120,"6/05/99",1,110211,6,"Chicken (number",3,210,9,420,17,425,1,50,10,250,100,0,0
145,"6/05/99",1,110241,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
152,"6/05/99",1,110251,1,"Cow (number)",4,15000,4,12000,1,1500,0,0,1,5000,1700,0,0
153,"6/05/99",1,110251,6,"Chicken (number",22,1100,20,1000,75,3000,55,2750,22,550,250,0,0
122,"6/05/99",1,110311,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
146,"6/05/99",1,110341,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
154,"6/05/99",1,110351,1,"Cow (number)",5,15000,1,3500,0,0,4,10300,0,0,1500,0,0
155,"6/05/99",1,110351,3,"Goat (number)",0,0,2,1400,1,600,0,0,0,0,50,0,0
156,"6/05/99",1,110351,6,"Chicken (number",20,1000,15,750,57,1710,42,2100,20,400,275,0,0
157,"6/05/99",1,110351,7,"Fish (KG)",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,0,1.79769313486232e+308,0,0,0,0
158,"6/05/99",1,110352,1,"Cow (number)",0,0,1,2000,1,1800,0,0,0,0,500,0,0
159,"6/05/99",1,110352,6,"Chicken (number",3,240,6,300,62,1860,35,1750,24,720,250,0,0
123,"6/05/99",1,110411,1,"Cow (number)",2,10000,3,12000,3,7000,2,11000,0,0,3200,0,0
124,"6/05/99",1,110411,6,"Chicken (number",30,1500,10,400,25,750,28,1540,17,340,0,0,0
147,"6/05/99",1,110441,6,"Chicken (number",10,500,1,80,1,50,7,420,3,180,75,0,0
160,"6/05/99",1,110459,1,"Cow (number)",0,0,2,4500,2,4100,0,0,0,0,400,0,0
161,"6/05/99",1,110459,6,"Chicken (number",2,140,5,350,30,600,15,750,12,240,50,0,0
125,"6/05/99",1,110511,1,"Cow (number)",3,12000,4,12000,4,11500,3,8500,0,0,3200,0,0
126,"6/05/99",1,110511,6,"Chicken (number",30,1500,9,500,59,1180,40,2000,40,600,150,0,0
148,"6/05/99",1,110541,6,"Chicken (number",0,0,8,400,14,425,3,130,3,120,50,0,0
