"casenum","date","weight_","hhcode","othersid","othersde","s7_4q2","s7_4q3","s7_4q4"
124,"6/05/99",1,110111,2,"Fruit (Kg)",70,700,1.79769313486232e+308
125,"6/05/99",1,110111,3,"Other forest product",1.79769313486232e+308,8000,1.79769313486232e+308
126,"6/05/99",1,110111,5,"Egg (4 Numbers)",24,240,50
127,"6/05/99",1,110111,6,"Other agri product (Kg)",1.79769313486232e+308,150,1.79769313486232e+308
130,"6/05/99",1,110112,5,"Egg (4 Numbers)",30,360,50
174,"6/05/99",1,110141,2,"Fruit (Kg)",1.79769313486232e+308,200,1.79769313486232e+308
175,"6/05/99",1,110141,3,"Other forest product",125,2500,1.79769313486232e+308
176,"6/05/99",1,110141,4,"Milk (Litre)",300,4200,1200
177,"6/05/99",1,110141,5,"Egg (4 Numbers)",12,144,1.79769313486232e+308
178,"6/05/99",1,110141,6,"Other agri product (Kg)",1.79769313486232e+308,3600,150
193,"6/05/99",1,110151,2,"Fruit (Kg)",1.79769313486232e+308,400,1.79769313486232e+308
194,"6/05/99",1,110151,3,"Other forest product",1.79769313486232e+308,900,1.79769313486232e+308
195,"6/05/99",1,110151,4,"Milk (Litre)",180,2700,500
196,"6/05/99",1,110151,5,"Egg (4 Numbers)",60,720,1.79769313486232e+308
197,"6/05/99",1,110151,6,"Other agri product (Kg)",1.79769313486232e+308,2000,300
128,"6/05/99",1,110211,5,"Egg (4 Numbers)",36,432,50
129,"6/05/99",1,110211,6,"Other agri product (Kg)",1.79769313486232e+308,250,35
179,"6/05/99",1,110241,2,"Fruit (Kg)",1.79769313486232e+308,150,1.79769313486232e+308
180,"6/05/99",1,110241,3,"Other forest product",45,1500,1.79769313486232e+308
198,"6/05/99",1,110251,2,"Fruit (Kg)",1.79769313486232e+308,6950,1.79769313486232e+308
199,"6/05/99",1,110251,3,"Other forest product",85,3500,1.79769313486232e+308
200,"6/05/99",1,110251,4,"Milk (Litre)",225,3375,500
201,"6/05/99",1,110251,5,"Egg (4 Numbers)",75,750,1.79769313486232e+308
202,"6/05/99",1,110251,6,"Other agri product (Kg)",1.79769313486232e+308,2500,175
131,"6/05/99",1,110311,2,"Fruit (Kg)",150,1500,1.79769313486232e+308
132,"6/05/99",1,110311,3,"Other forest product",60,2000,1.79769313486232e+308
133,"6/05/99",1,110311,6,"Other agri product (Kg)",1.79769313486232e+308,1200,150
181,"6/05/99",1,110341,2,"Fruit (Kg)",1.79769313486232e+308,1600,1.79769313486232e+308
182,"6/05/99",1,110341,3,"Other forest product",1.79769313486232e+308,400,1.79769313486232e+308
183,"6/05/99",1,110341,6,"Other agri product (Kg)",1.79769313486232e+308,450,50
203,"6/05/99",1,110351,2,"Fruit (Kg)",1.79769313486232e+308,2350,1.79769313486232e+308
204,"6/05/99",1,110351,3,"Other forest product",1.79769313486232e+308,500,1.79769313486232e+308
205,"6/05/99",1,110351,4,"Milk (Litre)",600,9600,2100
206,"6/05/99",1,110351,5,"Egg (4 Numbers)",60,720,150
207,"6/05/99",1,110351,6,"Other agri product (Kg)",1.79769313486232e+308,1500,300
208,"6/05/99",1,110352,2,"Fruit (Kg)",1.79769313486232e+308,1700,1.79769313486232e+308
209,"6/05/99",1,110352,3,"Other forest product",1.79769313486232e+308,500,1.79769313486232e+308
210,"6/05/99",1,110352,5,"Egg (4 Numbers)",25,300,1.79769313486232e+308
211,"6/05/99",1,110352,6,"Other agri product (Kg)",1.79769313486232e+308,500,1.79769313486232e+308
134,"6/05/99",1,110411,4,"Milk (Litre)",100,1600,800
