"casenum","date","weight_","hhcode","misc","miscde","s7_6q2","s7_6q3","s7_6q4"
265,"6/05/99",1,110111,1,"Fuel",1,1,1200
266,"6/05/99",1,110111,2,"House construction materi",3,1.79769313486232e+308,1.79769313486232e+308
267,"6/05/99",1,110111,3,"Vegetables",1,3,100
268,"6/05/99",1,110111,4,"Fish",1,5,500
269,"6/05/99",1,110111,5,"Fodder",1,3,250
270,"6/05/99",1,110111,6,"Crops collected",3,1.79769313486232e+308,1.79769313486232e+308
277,"6/05/99",1,110112,1,"Fuel",1,1,2400
278,"6/05/99",1,110112,2,"House construction materi",3,1.79769313486232e+308,1.79769313486232e+308
279,"6/05/99",1,110112,3,"Vegetables",1,2,250
280,"6/05/99",1,110112,4,"Fish",1,1,150
281,"6/05/99",1,110112,5,"Fodder",1,3,120
282,"6/05/99",1,110112,6,"Crops collected",3,1.79769313486232e+308,1.79769313486232e+308
349,"6/05/99",1,110141,1,"Fuel",1,3,500
350,"6/05/99",1,110141,2,"House construction materi",3,1.79769313486232e+308,1.79769313486232e+308
351,"6/05/99",1,110141,3,"Vegetables",1,3,150
352,"6/05/99",1,110141,4,"Fish",1,5,500
353,"6/05/99",1,110141,5,"Fodder",1,3,1200
354,"6/05/99",1,110141,6,"Crops collected",3,1.79769313486232e+308,1.79769313486232e+308
385,"6/05/99",1,110151,1,"Fuel",1,6,1000
386,"6/05/99",1,110151,2,"House construction materi",3,1.79769313486232e+308,1.79769313486232e+308
387,"6/05/99",1,110151,3,"Vegetables",1,3,200
388,"6/05/99",1,110151,4,"Fish",1,5,400
389,"6/05/99",1,110151,5,"Fodder",1,3,500
390,"6/05/99",1,110151,6,"Crops collected",3,1.79769313486232e+308,1.79769313486232e+308
271,"6/05/99",1,110211,1,"Fuel",1,1,1800
272,"6/05/99",1,110211,2,"House construction materi",3,1.79769313486232e+308,1.79769313486232e+308
273,"6/05/99",1,110211,3,"Vegetables",1,3,400
274,"6/05/99",1,110211,4,"Fish",1,5,1000
275,"6/05/99",1,110211,5,"Fodder",1,3,1200
276,"6/05/99",1,110211,6,"Crops collected",3,1.79769313486232e+308,1.79769313486232e+308
355,"6/05/99",1,110241,1,"Fuel",1,4,1200
356,"6/05/99",1,110241,2,"House construction materi",2,1.79769313486232e+308,1.79769313486232e+308
357,"6/05/99",1,110241,3,"Vegetables",1,3,200
358,"6/05/99",1,110241,4,"Fish",1,5,500
359,"6/05/99",1,110241,5,"Fodder",2,1.79769313486232e+308,1.79769313486232e+308
360,"6/05/99",1,110241,6,"Crops collected",2,1.79769313486232e+308,1.79769313486232e+308
391,"6/05/99",1,110251,1,"Fuel",1,6,1200
392,"6/05/99",1,110251,2,"House construction materi",3,1.79769313486232e+308,1.79769313486232e+308
393,"6/05/99",1,110251,3,"Vegetables",3,1.79769313486232e+308,1.79769313486232e+308
394,"6/05/99",1,110251,4,"Fish",3,1.79769313486232e+308,1.79769313486232e+308
395,"6/05/99",1,110251,5,"Fodder",1,3,700
396,"6/05/99",1,110251,6,"Crops collected",3,1.79769313486232e+308,1.79769313486232e+308
283,"6/05/99",1,110311,1,"Fuel",1,1,1800
284,"6/05/99",1,110311,2,"House construction materi",3,1.79769313486232e+308,1.79769313486232e+308
285,"6/05/99",1,110311,3,"Vegetables",2,1.79769313486232e+308,1.79769313486232e+308
