"casenum","date","weight_","hhcode","s9_1q1","s9_1q2","pid","program","s9_1q5","s9_1q6","s9_1q7","s9_1q8","s9_1q9","s9_1q10","s9_1q11","s9_1q12","s9_1q13","s9_1q14","s9_1q15","s9_1q16","s9_1q17","s9_1q18","s9_1q19","s9_1q20","s9_1q21","s9_1q22"
1.79769313486232e+308,"9/22/99",1,110111,1,1,2,1,97,2,1.79769313486232e+308,1.79769313486232e+308,15,1.79769313486232e+308,2,1.79769313486232e+308,0,0,5,0,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
64,"6/06/99",1,110111,1,1,2,8,2,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,5,0,0,5,0,1,2,1.79769313486232e+308,1.79769313486232e+308,5,35
65,"6/06/99",1,110112,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,12,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
94,"6/06/99",1,110141,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,13,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
100,"6/06/99",1,110151,1,1,1,2,1,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,5,25,16,1.79769313486232e+308,0,1,3,6,52,8,1.79769313486232e+308
66,"6/06/99",1,110211,1,1,2,1,2,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,5,2,10,8,5,1,1,2,3,52,2,15
95,"6/06/99",1,110241,1,1,2,1,2,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,2,5,3,1.79769313486232e+308,0,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,5,30
101,"6/06/99",1,110251,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
67,"6/06/99",1,110311,1,1,2,1,1,2,1.79769313486232e+308,1.79769313486232e+308,15,1.79769313486232e+308,2,1.79769313486232e+308,10,5,6,0,1,2,1.79769313486232e+308,26,1.79769313486232e+308,1.79769313486232e+308
96,"6/06/99",1,110341,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,13,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
102,"6/06/99",1,110351,1,1,1,8,1,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,2,30,3,1.79769313486232e+308,0,0,1.79769313486232e+308,1.79769313486232e+308,52,5,1.79769313486232e+308
103,"6/06/99",1,110352,1,1,4,1,4,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,5,2,20,8,5,0,1,3,1.79769313486232e+308,52,5,32
68,"6/06/99",1,110411,1,1,2,1,2,2,1.79769313486232e+308,1.79769313486232e+308,7,1.79769313486232e+308,2,1.79769313486232e+308,10,5,6,3,1,2,1.79769313486232e+308,52,1.79769313486232e+308,1.79769313486232e+308
69,"6/06/99",1,110411,1,1,4,1,2,2,1.79769313486232e+308,1.79769313486232e+308,7,1.79769313486232e+308,2,5,10,5,6,0,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
97,"6/06/99",1,110441,1,1,2,1,2,2,1.79769313486232e+308,1.79769313486232e+308,1,1.79769313486232e+308,1,2,17,4,6,0,0,1.79769313486232e+308,1.79769313486232e+308,52,1.79769313486232e+308,1.79769313486232e+308
104,"6/06/99",1,110459,1,1,1,8,1,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,5,1.79769313486232e+308,10,17,1.79769313486232e+308,1,5,4,6,52,1.79769313486232e+308,40
70,"6/06/99",1,110511,1,1,1,1,1,2,1.79769313486232e+308,1.79769313486232e+308,3,12,2,1,600,0,2,0,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
71,"6/06/99",1,110511,1,1,2,1,1,2,1.79769313486232e+308,1.79769313486232e+308,3,12,2,1,550,0,8,0,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
98,"6/06/99",1,110541,1,1,2,8,2,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,2,5,0,6,0,2,1.79769313486232e+308,1.79769313486232e+308,12,5,1.79769313486232e+308
99,"6/06/99",1,110542,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
72,"6/06/99",1,110611,1,1,1,1,1,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,5,90,12,1.79769313486232e+308,1,1,2,5,10,7,1.79769313486232e+308
73,"6/06/99",1,110611,1,1,2,1,1,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,4,55,4,1.79769313486232e+308,1,1,2,5,16,5,1.79769313486232e+308
75,"6/06/99",1,110612,1,1,2,1,2,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,2,50,5,1,1,1,5,3,12,1.79769313486232e+308,35
76,"6/06/99",1,110612,1,1,2,4,2,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,2,30,4,6,0,0,1.79769313486232e+308,1.79769313486232e+308,12,5,35
