"casenum","date","weight_","hhcode","pid","loansl","s9_3q3","s9_3q4","s9_3q5","s9_3q6","s9_3q7","s9_3q8","s9_3q9","s9_3q10","s9_3q11","s9_3q12","s9_3q13","s9_3q14","s9_3q15","s9_3q16","s9_3q17","s9_3q18","s9_3q19","s9_3q20"
46,"6/06/99",1,110111,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
47,"6/06/99",1,110112,2,1,9,1998,1000,60,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,15,120,0.0299999993294477,101,99,1,200,1.79769313486232e+308,1.79769313486232e+308,1050
48,"6/06/99",1,110112,1,2,2,1999,3000,84,0,3,1999,1.79769313486232e+308,15,96,0.0299999993294477,101,165,6,0,1.79769313486232e+308,1.79769313486232e+308,3210
64,"6/06/99",1,110141,1,1,12,1996,3000,0,0,2,1997,1.79769313486232e+308,13,192,3,703,264,56,3000,12,1997,0
76,"6/06/99",1,110151,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
49,"6/06/99",1,110211,1,1,12,1995,4000,0,0,8,1996,1.79769313486232e+308,16,120,2,101,99,6,6240,8,1995,0
50,"6/06/99",1,110211,1,2,12,1996,5000,0,0,8,1997,1.79769313486232e+308,16,132,2,101,99,6,8000,8,1995,0
51,"6/06/99",1,110211,1,3,12,1997,7000,0,0,8,1998,1.79769313486232e+308,16,144,2,101,120,6,11550,8,1995,0
52,"6/06/99",1,110211,1,4,8,1998,1500,0,0,8,1999,1.79769313486232e+308,16,166,2,101,33,6,0,1.79769313486232e+308,1.79769313486232e+308,2340
65,"6/06/99",1,110241,2,1,12,1995,2000,0,90,7,1996,1.79769313486232e+308,15,240,0.200000002980232,101,215,6,2600,8,1996,0
66,"6/06/99",1,110241,2,2,12,1996,2000,0,90,7,1997,1.79769313486232e+308,15,252,0.200000002980232,101,170,6,2600,7,1997,0
67,"6/06/99",1,110241,2,3,12,1996,2000,0,90,7,1997,1.79769313486232e+308,15,252,0.150000005960464,101,198,6,2600,7,1997,0
68,"6/06/99",1,110241,2,4,12,1997,2000,0,90,7,1998,1.79769313486232e+308,15,144,0.25,101,132,6,2600,8,1998,0
69,"6/06/99",1,110241,2,5,12,1997,3000,0,90,7,1998,1.79769313486232e+308,15,120,0.150000005960464,101,198,6,5700,8,1998,0
70,"6/06/99",1,110241,2,6,12,1997,1000,0,90,7,1998,1.79769313486232e+308,15,264,0.100000001490116,101,99,6,0,1.79769313486232e+308,1.79769313486232e+308,1300
71,"6/06/99",1,110241,2,7,12,1998,1000,0,90,7,1999,1.79769313486232e+308,15,120,0.150000005960464,101,99,6,0,1.79769313486232e+308,1.79769313486232e+308,1300
77,"6/06/99",1,110251,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
53,"6/06/99",1,110311,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
72,"6/06/99",1,110341,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
