"hhcode","casenum","date","weight_","pid","respid","s9_4q3a","s9_4q3b","s9_4q4","s9_4q5","s9_4q6"
110111,54,"6/06/99",1,2,2,75,0,0,0,75
110112,55,"6/06/99",1,2,2,1400,0,1400,0,0
110141,77,"6/06/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
110151,83,"6/06/99",1,1,1,21200,0,16000,0,1200
110211,57,"6/06/99",1,1,2,1500,0,0,0,0
110211,56,"6/06/99",1,2,1,3780,0,0,0,3780
110241,78,"6/06/99",1,2,2,1350,0,0,0,1350
110251,86,"6/06/99",1,1,1,21600,0,3600,0,0
110311,58,"6/06/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
110341,79,"6/06/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
110351,87,"6/06/99",1,1,1,1500,0,0,0,1500
110352,88,"6/06/99",1,4,4,3551,0,420,0,3551
110411,59,"6/06/99",1,2,2,758,0,0,0,758
110411,60,"6/06/99",1,4,4,326,0,0,0,326
110441,80,"6/06/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
110459,89,"6/06/99",1,1,1,300,0,0,0,300
110511,61,"6/06/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
110541,81,"6/06/99",1,2,2,390,0,390,0,390
110542,82,"6/06/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
110611,62,"6/06/99",1,1,1,4191,0,0,0,4191
110611,63,"6/06/99",1,2,1,3440,0,0,0,3440
110612,65,"6/06/99",1,2,2,4920,0,1640,2000,4920
110612,67,"6/06/99",1,5,2,204,0,520,700,204
110711,69,"6/06/99",1,6,6,840,0,0,0,840
110811,70,"6/06/99",1,2,2,665,0,50,0,665
110911,72,"6/06/99",1,1,1,140,0,140,0,0
111011,73,"6/06/99",1,2,1,5575,0,950,0,5575
111111,74,"6/06/99",1,4,4,403,0,403,0,403
111111,75,"6/06/99",1,5,4,217,0,217,0,217
111211,76,"6/06/99",1,2,2,5500,0,0,0,5500
120111,32,"7/22/99",1,2,2,625,0,170,0,625
120141,49,"7/22/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
120151,54,"7/22/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
120152,55,"7/22/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
120211,33,"7/22/99",1,4,4,938,0,0,0,938
120212,34,"7/22/99",1,2,2,1215,0,0,0,1215
120241,50,"7/22/99",1,3,1,410,0,260,0,0
120242,51,"7/22/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
120251,56,"7/22/99",1,2,2,1150,0,1100,3500,4650
120251,57,"7/22/99",1,4,2,520,0,260,0,0
120351,58,"7/22/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
120411,35,"7/22/99",1,2,1,3225,0,150,0,3225
120441,52,"7/22/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
120459,59,"7/22/99",1,3,3,3500,0,156,0,3500
120511,36,"7/22/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
120512,39,"7/22/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
120541,53,"7/22/99",1,1,1,1000,0,500,0,0
120611,38,"7/22/99",1,1,1,1000,0,0,0,0
120611,37,"7/22/99",1,6,1,1529,0,0,0,1529
120711,40,"7/22/99",1,1,1,3850,0,0,0,3850
120811,41,"7/22/99",1,1,4,500,0,260,0,0
120811,42,"7/22/99",1,2,4,500,0,260,0,0
120811,43,"7/22/99",1,4,4,500,0,260,0,0
120911,44,"7/22/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
121011,45,"7/22/99",1,2,2,671,0,156,0,670
121111,46,"7/22/99",1,3,1,685,0,260,0,0
121111,47,"7/22/99",1,5,1,685,0,260,0,0
121211,48,"7/22/99",1,2,2,2250,0,168,1000,2250
130141,12,"8/03/99",1,2,2,4418,0,1866,2000,4418
130151,18,"8/03/99",1,2,2,3186,0,208,0,3186
130211,1,"8/02/99",1,2,1,560,0,310,0,560
130241,14,"8/03/99",1,1,1,4922,0,1872,0,0
130241,13,"8/03/99",1,2,2,5235,0,1182,0,3919
130251,19,"8/03/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
130311,2,"8/02/99",1,2,2,2106,0,130,0,2106
130351,20,"8/03/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
130352,21,"8/03/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
130353,22,"8/03/99",1,2,2,2850,0,600,0,0
130354,23,"8/03/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
130355,24,"8/03/99",1,2,1,1100,0,600,0,0
130411,3,"8/02/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
130441,15,"8/03/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
130459,25,"8/03/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
130541,16,"8/03/99",1,2,2,3919,0,182,0,3919
130542,17,"8/03/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
130611,4,"8/02/99",1,2,2,6173,0,1530,0,6173
130711,5,"8/02/99",1,2,1,250,0,250,0,250
130712,6,"8/02/99",1,2,2,920,0,180,0,920
130811,7,"8/02/99",1,2,2,706,0,156,0,706
130911,8,"8/02/99",1,3,1,350,0,75,0,0
131011,9,"8/03/99",1,2,2,30,0,30,0,30
131111,10,"8/03/99",1,1,1,1270,0,140,0,1270
131211,11,"8/03/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
210131,37,"6/18/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
210141,51,"6/18/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
210151,56,"6/18/99",1,1,1,35000,65000,6000,0,0
210231,38,"6/18/99",1,2,2,3000,0,250,0,3000
210241,52,"6/18/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
210251,57,"6/18/99",1,2,2,460,0,460,0,460
210251,58,"6/18/99",1,3,3,460,0,460,0,460
210331,39,"6/18/99",1,1,1,300,0,300,0,0
210332,40,"6/18/99",1,2,2,710,0,240,0,710
210341,53,"6/18/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
210351,59,"6/18/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
210411,41,"6/18/99",1,2,2,3874,0,3500,0,3500
210441,54,"6/18/99",1,2,2,300,0,300,0,0
210459,60,"6/18/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
210511,42,"6/18/99",1,4,4,1406,0,810,0,810
210511,43,"6/18/99",1,6,6,1200,0,675,0,675
