"hhcode","casenum","date","weight_","day","month","year","thanaid","thanade","villid","villde","hhid","partcptn","hhtype","hhserial","relign","relhh","distance","lat_type","electric","samity","member","d_hat","d_bcentr","d_bank"
110111,45,"6/04/99",1,20,2,99,1,"DHAMRAI",1,"",1,1,1,1,1,6,2,2,2,2,1.79769313486232e+308,4,4,4
110112,46,"6/04/99",1,21,2,99,1,"DHAMRAI",1,"",1,1,2,2,1,2,2,2,2,2,1.79769313486232e+308,4,4,4
110141,59,"6/04/99",1,15,3,99,1,"DHAMRAI",1,"",1,4,1,15,1,1,3,2,2,2,1.79769313486232e+308,4,4,3
110151,65,"6/04/99",1,22,3,99,1,"DHAMRAI",1,"",1,5,1,21,1,1,1,3,2,2,1.79769313486232e+308,1,3,1
110251,66,"6/04/99",1,3,4,99,1,"DHAMRAI",1,"",2,5,1,22,1,1,2,1,1,2,1.79769313486232e+308,3,3,3
110341,61,"6/04/99",1,16,3,99,1,"DHAMRAI",1,"",3,4,1,17,1,1,3,3,2,2,1.79769313486232e+308,4,4,3
110351,67,"6/04/99",1,20,3,99,1,"DHAMRAI",1,"",3,5,1,23,1,1,3,4,1,2,1.79769313486232e+308,4,4,3
110352,68,"6/04/99",1,21,3,99,1,"DHAMRAI",1,"",3,5,2,24,1,2,3,2,2,2,1.79769313486232e+308,4,4,3
110411,49,"6/04/99",1,27,2,99,1,"DHAMRAI",1,"",4,1,1,5,1,1,4,2,1,2,1.79769313486232e+308,4,4,4
110441,62,"6/04/99",1,14,3,99,1,"DHAMRAI",1,"",4,4,1,18,1,5,3,2,2,2,1.79769313486232e+308,4,4,3
110459,69,"6/04/99",1,23,3,99,1,"DHAMRAI",1,"",4,5,9,25,1,1,2,2,2,2,1.79769313486232e+308,3,3,2
110511,50,"6/04/99",1,21,3,99,1,"DHAMRAI",1,"",5,1,1,6,1,1,3,2,1,2,1.79769313486232e+308,4,4,4
110541,63,"6/04/99",1,17,3,99,1,"DHAMRAI",1,"",5,4,1,19,1,1,3,2,2,2,1.79769313486232e+308,4,4,3
110542,64,"6/04/99",1,18,3,99,1,"DHAMRAI",1,"",5,4,2,20,1,2,3,2,2,2,1.79769313486232e+308,4,4,3
110611,51,"6/04/99",1,28,2,99,1,"DHAMRAI",1,"",6,1,1,7,1,1,1,2,2,2,1.79769313486232e+308,3,5,3
110612,52,"6/04/99",1,25,3,99,1,"DHAMRAI",1,"",6,1,2,8,1,3,3,4,2,2,1.79769313486232e+308,3,3,3
110711,53,"6/04/99",1,3,3,99,1,"DHAMRAI",1,"",7,1,1,9,1,3,3,2,2,2,1.79769313486232e+308,3,3,3
110811,54,"6/04/99",1,6,3,99,1,"DHAMRAI",1,"",8,1,1,10,1,2,3,2,2,2,1.79769313486232e+308,3,3,3
110919,55,"6/04/99",1,5,3,99,1,"DHAMRAI",1,"",9,1,9,11,1,1,3,2,2,2,1.79769313486232e+308,3,3,3
111011,56,"6/04/99",1,9,3,99,1,"DHAMRAI",1,"",10,1,1,12,1,1,3,2,2,2,1.79769313486232e+308,4,4,3
111111,57,"6/04/99",1,8,3,99,1,"DHAMRAI",1,"",11,1,1,13,1,1,3,2,2,2,1.79769313486232e+308,4,4,3
111211,58,"6/04/99",1,11,3,99,1,"DHAMRAI",1,"",12,1,1,14,1,2,3,3,2,2,1.79769313486232e+308,4,4,3
120111,28,"7/16/99",1,7,4,99,1,"DHAMRAI",2,"",1,1,1,1,1,2,4,2,2,2,1.79769313486232e+308,2,5,2
120141,41,"7/16/99",1,26,4,99,1,"DHAMRAI",2,"",1,4,1,14,1,1,2,2,2,2,1.79769313486232e+308,2,5,2
120151,46,"7/16/99",1,11,5,99,1,"DHAMRAI",2,"",1,5,1,19,1,1,2,2,2,2,1.79769313486232e+308,2,5,2
120152,47,"7/16/99",1,12,5,99,1,"DHAMRAI",2,"",1,5,2,20,1,1,2,2,2,2,1.79769313486232e+308,2,5,2
120211,29,"7/16/99",1,8,4,99,1,"DHAMRAI",2,"",2,1,1,2,1,6,2,2,2,2,1.79769313486232e+308,2,6,2
120212,30,"7/16/99",1,10,4,99,1,"DHAMRAI",2,"",2,1,2,3,1,2,2,2,2,2,1.79769313486232e+308,2,5,2
120241,42,"7/16/99",1,8,5,99,1,"DHAMRAI",2,"",2,4,1,15,1,1,2,2,2,1,2,2,5,2
120242,43,"7/16/99",1,9,5,99,1,"DHAMRAI",2,"",2,4,2,16,1,1,2,2,2,2,1.79769313486232e+308,2,5,2
120251,48,"7/16/99",1,13,4,99,1,"DHAMRAI",2,"",2,5,1,21,1,1,2,2,2,2,1.79769313486232e+308,2,5,2
120351,49,"7/16/99",1,7,5,99,1,"DHAMRAI",2,"",3,5,1,22,1,2,2,2,2,2,1.79769313486232e+308,2,5,2
120411,31,"7/16/99",1,11,4,99,1,"DHAMRAI",2,"",4,1,1,4,1,1,2,2,2,2,1.79769313486232e+308,2,5,2
120441,44,"7/16/99",1,19,5,99,1,"DHAMRAI",2,"",4,4,1,17,1,2,2,2,2,2,1.79769313486232e+308,2,5,2
120459,50,"7/16/99",1,13,5,99,1,"DHAMRAI",2,"",4,5,9,23,1,3,2,2,2,2,1.79769313486232e+308,2,5,2
120511,32,"7/16/99",1,12,4,99,1,"DHAMRAI",2,"",5,1,1,5,1,1,2,2,2,2,1.79769313486232e+308,2,5,2
120512,33,"7/16/99",1,15,4,99,1,"DHAMRAI",2,"",5,1,2,6,1,2,2,2,2,2,1.79769313486232e+308,2,5,2
120541,45,"7/16/99",1,20,4,99,1,"DHAMRAI",2,"",5,4,1,18,1,1,2,2,2,2,1.79769313486232e+308,2,5,2
120611,34,"7/16/99",1,17,4,99,1,"DHAMRAI",2,"",6,1,1,9,1,1,2,1,2,2,1.79769313486232e+308,2,5,2
120711,35,"7/16/99",1,6,5,99,1,"DHAMRAI",2,"",7,1,1,8,1,1,2,2,2,2,1.79769313486232e+308,2,5,2
