"casenum","date","weight_","hhcode","pid","landid","landde","s12_1q2","s12_1q3","s12_1q4","s12_1q5","s12_1q6","s12_1q7"
59,"6/06/99",1,110111,5,1,"Purchased before 1992",0,6,9,0,0,36000
60,"6/06/99",1,110111,5,2,"Inherited",10,0,18,0,0,66000
61,"6/06/99",1,110112,1,2,"Inherited",4,0,9,0,0,30000
87,"6/06/99",1,110141,1,2,"Inherited",8.5,0,60,0,0,214000
86,"6/06/99",1,110141,1,11,"Purchased since 1992",0,0,7,0,0,14000
96,"6/06/99",1,110151,1,1,"Purchased before 1992",15,0,0,0,0,30000
98,"6/06/99",1,110151,1,2,"Inherited",0,0,125.5,0,0,87850
97,"6/06/99",1,110151,1,11,"Purchased since 1992",0,0,32.5,25,0,115000
62,"6/06/99",1,110211,1,2,"Inherited",15,0,0,0,0,60000
62,"6/06/99",1,110211,1,2,"Inherited",15,0,0,0,0,60000
88,"6/06/99",1,110241,1,2,"Inherited",5,5,0,0,0,50000
101,"6/06/99",1,110251,1,2,"Inherited",0,0,200,0,0,400000
100,"6/06/99",1,110251,1,12,"Sale since 1992",0,0,33,0,0,70000
99,"6/06/99",1,110251,1,1,"Purchased before 1992",80,112,200,171,162,1450000
63,"6/06/99",1,110311,2,2,"Inherited",12,4,0,0,0,48000
90,"6/06/99",1,110341,1,2,"Inherited",10,0,0,126,0,347000
89,"6/06/99",1,110341,1,12,"Sale since 1992",0,0,0,36,0,72000
102,"6/06/99",1,110351,1,1,"Purchased before 1992",0,44,0,0,0,110000
103,"6/06/99",1,110351,1,11,"Purchased since 1992",0,42,0,0,0,168000
104,"6/06/99",1,110351,1,2,"Inherited",35,12,165,0,0,670500
105,"6/06/99",1,110352,1,2,"Inherited",35,12,48,150,0,490000
64,"6/06/99",1,110411,1,2,"Inherited",5,0,310,0,0,620000
91,"6/06/99",1,110441,2,11,"Purchased since 1992",8,0,0,0,0,40000
106,"6/06/99",1,110459,1,2,"Inherited",7,0,0,330,82,536000
106,"6/06/99",1,110459,1,2,"Inherited",7,0,0,330,82,536000
106,"6/06/99",1,110459,1,2,"Inherited",7,0,0,330,82,536000
67,"6/06/99",1,110511,1,2,"Inherited",20,0,231,0,0,231000
65,"6/06/99",1,110511,1,11,"Purchased since 1992",0,0,100,0,0,200000
66,"6/06/99",1,110511,1,12,"Sale since 1992",0,0,19,0,0,30000
92,"6/06/99",1,110541,1,1,"Purchased before 1992",10,0,0,0,0,40000
94,"6/06/99",1,110541,1,2,"Inherited",0,0,15,0,0,45000
93,"6/06/99",1,110541,1,12,"Sale since 1992",5,0,0,0,0,20000
95,"6/06/99",1,110542,1,2,"Inherited",5,0,0,0,0,25000
70,"6/06/99",1,110611,1,2,"Inherited",6.5,0,24.5,0,0,77500
68,"6/06/99",1,110611,1,1,"Purchased before 1992",6.5,5.5,79,9,0,250000
69,"6/06/99",1,110611,1,11,"Purchased since 1992",0,0,10,0,0,25000
72,"6/06/99",1,110612,1,11,"Purchased since 1992",0,0,0,20,0,50000
73,"6/06/99",1,110612,1,2,"Inherited",8,0,85.5,0,0,245750
71,"6/06/99",1,110612,1,1,"Purchased before 1992",8,0,30,0,0,107000
75,"6/06/99",1,110711,2,11,"Purchased since 1992",0,0,0,8,0,16000
74,"6/06/99",1,110711,1,2,"Inherited",4,0,0,8,0,32000
77,"6/06/99",1,110811,1,2,"Inherited",12,0,432,0,0,312000
76,"6/06/99",1,110811,1,11,"Purchased since 1992",0,0,0,5,0,15000
78,"6/06/99",1,110911,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
79,"6/06/99",1,111011,2,2,"Inherited",8,0,51,0,0,126000
80,"6/06/99",1,111011,1,1,"Purchased before 1992",0,0,26,0,0,52000
81,"6/06/99",1,111111,1,2,"Inherited",7,0,0,34,0,96000
81,"6/06/99",1,111111,1,2,"Inherited",7,0,0,34,0,96000
84,"6/06/99",1,111211,1,2,"Inherited",35,0,125,0,0,355000
85,"6/06/99",1,111211,2,11,"Purchased since 1992",11,0,20,0,4,123000
82,"6/06/99",1,111211,1,1,"Purchased before 1992",0,0,15,0,0,30000
83,"6/06/99",1,111211,1,11,"Purchased since 1992",0,0,32.5,0,0,64000
31,"7/22/99",1,120111,1,11,"Purchased since 1992",10,0,0,0,0,20000
32,"7/22/99",1,120111,1,12,"Sale since 1992",3,0,0,0,0,6000
33,"7/22/99",1,120111,1,2,"Inherited",3,0,0,0,0,6000
56,"7/22/99",1,120141,1,12,"Sale since 1992",0,0,30,0,0,30000
57,"7/22/99",1,120141,1,2,"Inherited",10,0,35,50,0,95000
72,"7/22/99",1,120151,1,2,"Inherited",2,0,22,0,0,41000
70,"7/22/99",1,120151,1,11,"Purchased since 1992",0,0,11,0,0,16500
69,"7/22/99",1,120151,1,1,"Purchased before 1992",0,0,11,0,0,16500
71,"7/22/99",1,120151,1,12,"Sale since 1992",0,0,44,0,0,66000
75,"7/22/99",1,120152,4,2,"Inherited",30,0,14,0,0,132000
74,"7/22/99",1,120152,1,2,"Inherited",0,0,0,11,0,22000
73,"7/22/99",1,120152,1,11,"Purchased since 1992",0,0,0,13,0,26000
34,"7/22/99",1,120211,1,2,"Inherited",10,0,0,12,0,32000
58,"7/22/99",1,120241,1,1,"Purchased before 1992",10,0,104,0,26,210000
59,"7/22/99",1,120241,1,11,"Purchased since 1992",14,0,0,0,0,42000
60,"7/22/99",1,120241,1,2,"Inherited",0,0,43,0,14,85500
63,"7/22/99",1,120242,1,12,"Sale since 1992",0,0,28,0,0,56000
62,"7/22/99",1,120242,1,11,"Purchased since 1992",0,0,40,0,0,80000
64,"7/22/99",1,120242,1,2,"Inherited",0,0,30,0,0,60000
61,"7/22/99",1,120242,1,1,"Purchased before 1992",19,4,50,0,20,139500
78,"7/22/99",1,120351,1,2,"Inherited",8,0,0,0,0,16000
78,"7/22/99",1,120351,1,2,"Inherited",8,0,0,0,0,16000
38,"7/22/99",1,120411,1,2,"Inherited",15,0,0,0,0,30000
37,"7/22/99",1,120411,1,1,"Purchased before 1992",0,0,60,100,0,160000
65,"7/22/99",1,120441,1,11,"Purchased since 1992",0,0,8,12,0,8000
66,"7/22/99",1,120441,1,2,"Inherited",0,2,10,0,0,12000
79,"7/22/99",1,120459,1,1,"Purchased before 1992",28,0,0,198,0,339000
80,"7/22/99",1,120459,1,12,"Sale since 1992",0,0,20,23,0,79500
40,"7/22/99",1,120511,1,2,"Inherited",4,0,37,0,7,112000
39,"7/22/99",1,120511,1,12,"Sale since 1992",0,0,37,0,0,74000
43,"7/22/99",1,120512,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
68,"7/22/99",1,120541,1,2,"Inherited",8,0,0,0,0,24000
67,"7/22/99",1,120541,1,1,"Purchased before 1992",0,0,58,0,0,116000
42,"7/22/99",1,120611,1,2,"Inherited",57,8,5,498,150,1465000
41,"7/22/99",1,120611,1,1,"Purchased before 1992",0,0,0,50,0,10000
42,"7/22/99",1,120611,1,2,"Inherited",57,8,5,498,150,1465000
44,"7/22/99",1,120711,1,2,"Inherited",4,6,0,0,0,42000
44,"7/22/99",1,120711,1,2,"Inherited",4,6,0,0,0,42000
45,"7/22/99",1,120811,1,11,"Purchased since 1992",0,0,30,0,0,60000
46,"7/22/99",1,120811,1,2,"Inherited",9,0,20,0,0,58000
48,"7/22/99",1,120911,5,2,"Inherited",3.5,0,2,14,10,59000
49,"7/22/99",1,120911,6,2,"Inherited",3.5,0,1.5,13,9,54000
47,"7/22/99",1,120911,1,2,"Inherited",3.5,0,1.5,13,9,40500
49,"7/22/99",1,120911,6,2,"Inherited",3.5,0,1.5,13,9,54000
49,"7/22/99",1,120911,6,2,"Inherited",3.5,0,1.5,13,9,54000
49,"7/22/99",1,120911,6,2,"Inherited",3.5,0,1.5,13,9,54000
49,"7/22/99",1,120911,6,2,"Inherited",3.5,0,1.5,13,9,54000
49,"7/22/99",1,120911,6,2,"Inherited",3.5,0,1.5,13,9,54000
49,"7/22/99",1,120911,6,2,"Inherited",3.5,0,1.5,13,9,54000
51,"7/22/99",1,121011,1,12,"Sale since 1992",0,0,16,0,0,32000
52,"7/22/99",1,121011,1,2,"Inherited",0,0,40,0,0,80000
50,"7/22/99",1,121011,1,11,"Purchased since 1992",14,0,52,108,0,348000
54,"7/22/99",1,121111,1,2,"Inherited",8,0,70,0,0,195000
