"casenum","date","weight_","hhcode","pid","htrid","htrde","s12_2q2","s12_2q3","s12_2q4","s12_2q5","s12_2q6","s12_2q7"
58,"6/06/99",1,110111,5,2,"Inherited",10000,0,0,2000,0,0
59,"6/06/99",1,110112,1,2,"Inherited",3000,0,0,0,0,0
79,"6/06/99",1,110141,1,2,"Inherited",8000,0,0,0,0,0
78,"6/06/99",1,110141,1,11,"Purchased since 1992",2000,0,0,0,0,0
86,"6/06/99",1,110151,1,11,"Purchased since 1992",3000,0,0,0,0,0
87,"6/06/99",1,110151,1,2,"Inherited",48000,0,0,0,0,0
61,"6/06/99",1,110211,1,11,"Purchased since 1992",3000,0,0,0,0,0
60,"6/06/99",1,110211,1,1,"Purchased before 1992",12000,0,0,0,0,0
80,"6/06/99",1,110241,1,11,"Purchased since 1992",15000,0,0,0,0,0
88,"6/06/99",1,110251,1,1,"Purchased before 1992",450000,0,0,0,0,0
89,"6/06/99",1,110251,1,11,"Purchased since 1992",0,0,2000,0,0,0
62,"6/06/99",1,110311,2,11,"Purchased since 1992",8500,0,0,0,0,0
81,"6/06/99",1,110341,1,2,"Inherited",15000,0,0,0,0,0
91,"6/06/99",1,110351,1,2,"Inherited",60000,0,0,0,0,0
90,"6/06/99",1,110351,1,11,"Purchased since 1992",25000,0,1200,0,0,0
92,"6/06/99",1,110352,1,2,"Inherited",95000,0,0,0,0,0
63,"6/06/99",1,110411,1,11,"Purchased since 1992",85000,0,0,0,0,0
82,"6/06/99",1,110441,1,11,"Purchased since 1992",5000,3000,0,0,0,0
95,"6/06/99",1,110459,1,2,"Inherited",5000,0,0,0,0,0
93,"6/06/99",1,110459,1,1,"Purchased before 1992",40000,0,0,0,0,0
94,"6/06/99",1,110459,1,11,"Purchased since 1992",0,0,1200,0,0,0
65,"6/06/99",1,110511,1,2,"Inherited",12000,0,0,0,0,0
64,"6/06/99",1,110511,1,11,"Purchased since 1992",100000,0,0,0,0,0
84,"6/06/99",1,110541,1,2,"Inherited",6500,0,0,0,0,0
83,"6/06/99",1,110541,1,11,"Purchased since 1992",500,0,0,0,0,0
85,"6/06/99",1,110542,1,2,"Inherited",800,0,0,0,0,0
66,"6/06/99",1,110611,1,11,"Purchased since 1992",32000,20000,0,0,0,0
67,"6/06/99",1,110612,1,11,"Purchased since 1992",90000,8000,1000,0,0,0
68,"6/06/99",1,110711,1,11,"Purchased since 1992",25000,12500,0,0,0,0
69,"6/06/99",1,110811,1,11,"Purchased since 1992",0,0,0,5000,0,0
70,"6/06/99",1,110811,1,2,"Inherited",22000,0,0,0,0,0
71,"6/06/99",1,110911,1,11,"Purchased since 1992",1000,0,0,0,0,0
73,"6/06/99",1,111011,1,2,"Inherited",15000,0,0,0,0,0
72,"6/06/99",1,111011,1,11,"Purchased since 1992",2000,0,0,0,0,0
74,"6/06/99",1,111111,1,11,"Purchased since 1992",0,0,1200,0,0,0
75,"6/06/99",1,111111,1,2,"Inherited",12500,0,0,0,0,0
76,"6/06/99",1,111211,1,1,"Purchased before 1992",15000,0,0,0,0,0
77,"6/06/99",1,111211,1,11,"Purchased since 1992",40000,25000,0,0,0,0
28,"7/22/99",1,120111,1,11,"Purchased since 1992",12000,2500,0,0,0,0
56,"7/22/99",1,120141,1,2,"Inherited",6000,0,0,0,0,0
63,"7/22/99",1,120151,1,11,"Purchased since 1992",30000,0,0,0,0,0
64,"7/22/99",1,120152,1,11,"Purchased since 1992",2000,0,0,0,0,0
66,"7/22/99",1,120152,2,11,"Purchased since 1992",0,0,0,1000,0,0
65,"7/22/99",1,120152,1,2,"Inherited",2000,0,0,0,0,0
29,"7/22/99",1,120211,1,11,"Purchased since 1992",120000,0,0,0,0,0
58,"7/22/99",1,120241,1,2,"Inherited",8000,0,0,0,0,0
57,"7/22/99",1,120241,1,11,"Purchased since 1992",4000,0,800,0,0,0
59,"7/22/99",1,120242,1,11,"Purchased since 1992",5000,0,0,0,0,0
69,"7/22/99",1,120351,1,11,"Purchased since 1992",8000,0,0,0,0,0
70,"7/22/99",1,120351,1,2,"Inherited",12000,0,0,0,0,0
32,"7/22/99",1,120411,1,11,"Purchased since 1992",15000,0,0,0,0,0
31,"7/22/99",1,120411,1,1,"Purchased before 1992",25000,0,0,0,0,0
60,"7/22/99",1,120441,1,1,"Purchased before 1992",5000,0,0,0,0,0
61,"7/22/99",1,120441,1,11,"Purchased since 1992",3000,0,0,0,0,0
71,"7/22/99",1,120459,1,1,"Purchased before 1992",20000,0,0,0,0,0
72,"7/22/99",1,120459,1,11,"Purchased since 1992",0,0,1200,0,0,0
33,"7/22/99",1,120511,1,11,"Purchased since 1992",30000,0,0,0,0,0
34,"7/22/99",1,120511,1,2,"Inherited",12000,0,0,0,0,0
38,"7/22/99",1,120512,1,11,"Purchased since 1992",5000,0,1200,0,0,0
62,"7/22/99",1,120541,1,11,"Purchased since 1992",12000,0,0,1000,0,0
35,"7/22/99",1,120611,1,1,"Purchased before 1992",0,0,2000,0,0,0
37,"7/22/99",1,120611,1,2,"Inherited",200000,0,0,0,0,0
36,"7/22/99",1,120611,1,11,"Purchased since 1992",7000,0,0,0,0,0
39,"7/22/99",1,120711,1,1,"Purchased before 1992",0,0,1000,0,0,0
40,"7/22/99",1,120711,1,11,"Purchased since 1992",7000,0,0,0,0,0
41,"7/22/99",1,120811,1,11,"Purchased since 1992",18000,0,800,0,0,0
47,"7/22/99",1,120911,5,2,"Inherited",4000,0,0,0,0,0
46,"7/22/99",1,120911,5,11,"Purchased since 1992",0,0,700,0,0,0
45,"7/22/99",1,120911,5,1,"Purchased before 1992",20000,0,0,0,0,0
