"casenum","date","weight_","hhcode","pid","oedid","oedde","s12_4q22","s12_4q32","s12_4q42","s12_4q52","s12_4q62","s12_4q72"
115,"6/06/99",1,110111,5,3,"Obtained as gift",0,0,0,0,0,500
114,"6/06/99",1,110111,5,11,"Purchased since 1992",120,0,0,450,700,0
117,"6/06/99",1,110112,1,3,"Obtained as gift",0,0,0,600,0,0
118,"6/06/99",1,110112,1,4,"Obtained as dowry",0,0,0,0,0,4200
116,"6/06/99",1,110112,1,11,"Purchased since 1992",0,0,3000,600,0,0
146,"6/06/99",1,110141,1,4,"Obtained as dowry",0,0,0,0,0,3600
145,"6/06/99",1,110141,1,11,"Purchased since 1992",300,0,850,1500,0,0
157,"6/06/99",1,110151,1,4,"Obtained as dowry",0,0,0,0,0,9000
155,"6/06/99",1,110151,1,11,"Purchased since 1992",650,0,5000,1500,450,1800
156,"6/06/99",1,110151,1,2,"Inherited",0,0,3000,500,0,0
120,"6/06/99",1,110211,1,11,"Purchased since 1992",0,0,0,10000,0,0
119,"6/06/99",1,110211,1,1,"Purchased before 1992",0,0,0,200,0,300
147,"6/06/99",1,110241,1,11,"Purchased since 1992",225,0,0,350,0,320
159,"6/06/99",1,110251,1,11,"Purchased since 1992",1500,0,7000,4000,0,46450
158,"6/06/99",1,110251,1,1,"Purchased before 1992",0,0,10000,3500,8000,0
160,"6/06/99",1,110251,1,5,"Obtained from other sources",0,0,0,0,4000,0
122,"6/06/99",1,110311,2,11,"Purchased since 1992",0,0,850,400,0,450
121,"6/06/99",1,110311,2,1,"Purchased before 1992",0,0,0,500,0,0
148,"6/06/99",1,110341,1,11,"Purchased since 1992",150,0,2500,2000,350,2100
149,"6/06/99",1,110341,1,2,"Inherited",0,0,3500,0,0,0
161,"6/06/99",1,110351,1,11,"Purchased since 1992",425,700,12000,3000,10000,12900
162,"6/06/99",1,110351,1,2,"Inherited",0,0,20000,0,0,0
164,"6/06/99",1,110352,1,2,"Inherited",0,0,7500,3500,0,750
163,"6/06/99",1,110352,1,11,"Purchased since 1992",400,500,8000,4000,0,0
165,"6/06/99",1,110352,1,4,"Obtained as dowry",0,0,0,0,0,9000
123,"6/06/99",1,110411,1,1,"Purchased before 1992",0,0,0,0,0,750
125,"6/06/99",1,110411,1,2,"Inherited",0,0,0,500,0,0
124,"6/06/99",1,110411,1,11,"Purchased since 1992",700,0,4400,2100,0,7500
126,"6/06/99",1,110411,1,3,"Obtained as gift",0,0,0,700,0,0
150,"6/06/99",1,110441,1,11,"Purchased since 1992",90,0,0,600,0,300
166,"6/06/99",1,110459,1,1,"Purchased before 1992",0,0,8000,2000,0,2050
167,"6/06/99",1,110459,1,11,"Purchased since 1992",100,0,0,0,0,0
128,"6/06/99",1,110511,1,2,"Inherited",0,0,1250,650,0,3000
127,"6/06/99",1,110511,1,11,"Purchased since 1992",750,0,3000,1500,0,480
151,"6/06/99",1,110541,1,11,"Purchased since 1992",600,0,550,650,0,0
154,"6/06/99",1,110542,1,4,"Obtained as dowry",0,0,0,0,0,3900
152,"6/06/99",1,110542,1,11,"Purchased since 1992",0,0,0,70,220,0
153,"6/06/99",1,110542,1,2,"Inherited",0,0,600,300,0,400
129,"6/06/99",1,110611,1,11,"Purchased since 1992",500,0,10000,2500,300,0
130,"6/06/99",1,110612,1,1,"Purchased before 1992",0,0,0,0,0,6450
132,"6/06/99",1,110612,1,3,"Obtained as gift",0,0,0,0,1000,0
131,"6/06/99",1,110612,1,11,"Purchased since 1992",325,0,3500,2000,0,12000
134,"6/06/99",1,110711,1,11,"Purchased since 1992",0,0,500,1000,0,0
135,"6/06/99",1,110711,1,3,"Obtained as gift",0,0,0,0,0,900
133,"6/06/99",1,110711,1,1,"Purchased before 1992",3500,1050,0,0,0,0
137,"6/06/99",1,110811,1,2,"Inherited",0,2000,2000,1200,0,450
136,"6/06/99",1,110811,1,11,"Purchased since 1992",350,0,2000,550,0,0
138,"6/06/99",1,110911,1,11,"Purchased since 1992",150,0,350,600,0,75
139,"6/06/99",1,111011,1,11,"Purchased since 1992",300,0,3600,1500,0,600
141,"6/06/99",1,111111,1,2,"Inherited",0,0,750,0,0,0
140,"6/06/99",1,111111,1,11,"Purchased since 1992",0,0,0,725,0,600
142,"6/06/99",1,111111,1,3,"Obtained as gift",0,0,0,0,0,200
144,"6/06/99",1,111211,1,2,"Inherited",0,0,0,0,0,2000
143,"6/06/99",1,111211,1,11,"Purchased since 1992",600,0,3300,2500,0,600
83,"7/23/99",1,120111,1,11,"Purchased since 1992",200,0,300,500,0,200
106,"7/23/99",1,120141,1,11,"Purchased since 1992",150,0,0,500,0,0
105,"7/23/99",1,120141,1,1,"Purchased before 1992",0,0,1000,0,0,0
116,"7/23/99",1,120151,1,11,"Purchased since 1992",250,0,500,550,0,8000
118,"7/23/99",1,120152,1,11,"Purchased since 1992",225,0,2000,800,0,1500
117,"7/23/99",1,120152,1,1,"Purchased before 1992",0,0,800,200,0,0
84,"7/23/99",1,120211,1,11,"Purchased since 1992",175,0,3500,300,0,0
109,"7/23/99",1,120241,1,2,"Inherited",0,0,1000,0,0,0
107,"7/23/99",1,120241,1,1,"Purchased before 1992",0,0,0,200,0,0
108,"7/23/99",1,120241,1,11,"Purchased since 1992",300,0,1500,1000,0,500
111,"7/23/99",1,120242,1,11,"Purchased since 1992",500,0,1200,300,0,0
110,"7/23/99",1,120242,1,1,"Purchased before 1992",0,0,0,200,0,0
121,"7/23/99",1,120351,1,2,"Inherited",120,0,0,0,0,0
123,"7/23/99",1,120351,7,3,"Obtained as gift",0,0,0,0,0,12000
122,"7/23/99",1,120351,1,3,"Obtained as gift",0,0,500,0,0,650
