hhcode,weight,food_total,nonfood_total,selfemp_income,total_income,treatment,loan_amount
110111,1,411,10108,0,10519,1,0
110112,1,376,5490,0,5866,0,0
110141,1,367,7484,0,7851,0,4000
110151,1,758,14967,0,15725,1,14000
110251,1,2289,77289,0,79578,0,68000
110341,1,510,14267,0,14777,0,0
110351,1,917,98090,175,99182,1,15000
110352,1,461,5626,0,6087,1,0
110411,1,856,11695,0,12551,1,4500
110441,1,282,5422,0,5704,1,8000
110459,1,673,27144,0,27817,1,0
110511,1,681,137910,0,138591,1,31000
110541,1,401,3946,0,4347,1,3000
110542,1,147,7092,0,7239,0,0
110611,1,656,75810,0,76466,1,94000
110612,1,731,77129,0,77860,1,89000
110711,1,620,8012,200,8832,1,18000
110811,1,983,25756,100,26839,1,11000
110919,1,0,0,0,0,0,0
111011,1,768,14461,0,15229,1,27000
111111,1,354.5,5116,0,5470.5,1,5000
111211,1,1336,103580,0,104916,1,74000
120111,1,410,7577,75,8062,1,31000
120141,1,389,8506,0,8895,0,0
120151,1,593,36467,1350,38410,1,62500
120152,1,458,14139,255,14852,1,0
120211,1,903,134681,0,135584,1,6000
120212,1,318,4466,0,4784,1,52000
120241,1,675,16972,0,17647,0,7000
120242,1,324,6694,0,7018,0,0
120251,1,582,24059,0,24641,1,104500
120351,1,228,11285,0,11513,0,0
120411,1,637,10730,0,11367,1,23000
120441,1,327,6272,0,6599,0,7000
120459,1,821,19223,175,20219,1,156500
120511,1,551,15833,0,16384,1,44000
120512,1,401.75,4604,0,5005.75,0,0
120541,1,645,8861,140,9646,0,0
120611,1,1241,23510,0,24751,1,0
120711,1,725,13813,0,14538,1,5000
120811,1,914,22713,0,23627,1,50000
120911,1,271.5,9704,0,9975.5,0,0
121011,1,338,39525,110,39973,1,70000
121111,1,537,18300,0,18837,1,83000
121211,1,606,9791,125,10522,1,25500
130141,1,437,6044,0,6481,1,98000
130151,1,409,14763,0,15172,1,39000
130211,1,425,8885,0,9310,1,12000
130241,1,683,57649,250,58582,1,77500
130251,1,755,42968,0,43723,0,10000
130311,1,488,6829,0,7317,1,3000
130351,1,398,20995,0,21393,0,5000
130352,1,542,29077,0,29619,0,5000
130353,1,523,43480,0,44003,0,12000
130354,1,521,100658,0,101179,0,35000
130355,1,499,10643,0,11142,0,4000
130411,1,251,34004,300,34555,1,2500
130441,1,539,14329,300,15168,0,1000
130459,1,510,14476,0,14986,1,10000
130541,1,286,8340,0,8626,1,135500
130542,1,161,3150,0,3311,0,0
130611,1,418,4528,0,4946,1,39700
130711,1,520,17156,0,17676,1,16000
130712,1,187,4770,0,4957,1,13000
130811,1,556,12607,0,13163,1,11000
130911,1,349,34119,0,34468,1,0
131011,1,391,4615,0,5006,1,3000
131111,1,332,4225,0,4557,1,16000
131211,1,338,12648,0,12986,1,21000
210131,1,322,3102,145,3569,0,0
210141,1,239.5,3017,0,3256.5,0,0
210151,1,1038,33426,0,34464,0,0
210231,1,488,4041,0,4529,1,10500
210241,1,132.5,12965,0,13097.5,0,0
210251,1,1342,79020,0,80362,1,4000
210331,1,397,8038,0,8435,0,0
210332,1,183,1253,0,1436,1,3000
210341,1,674,9711,0,10385,0,0
210351,1,438.5,14718,0,15156.5,0,0
210411,1,465,4547,0,5012,1,41000
210441,1,572,7175,80,7827,0,0
210459,1,224.5,6534,0,6758.5,0,0
210511,1,938,53610,0,54548,1,44000
210541,1,1174,28895,0,30069,0,0
210611,1,374,2602,0,2976,1,31000
210731,1,493,7041,50,7584,1,59000
210931,1,359.5,3937,60,4356.5,1,0
211031,1,569,9651,0,10220,1,36000
211131,1,376,4289,0,4665,1,53000
211231,1,396,20246,60,20702,1,10000
220111,1,246,8942,80,9268,1,0
220141,1,239,1269,0,1508,0,0
220151,1,831,29339,0,30170,0,10000
220211,1,316,4776,70,5162,1,8000
220241,1,258,2587,0,2845,0,0
220251,1,790,24548,0,25338,0,0
220311,1,239,2829,0,3068,1,0
220341,1,213.5,5143,0,5356.5,1,3000
220351,1,735,15414,0,16149,0,7500
220441,1,267,1523,0,1790,0,0
220459,1,544,6839,0,7383,0,2000
220511,1,240,2456,0,2696,1,0
220541,1,142,5252,0,5394,0,0
220611,1,369,8746,0,9115,1,4000
220911,1,146,3250,0,3396,1,0
221011,1,165,1971,0,2136,1,27000
221112,1,239,3620,0,3859,0,0
221211,1,86,721,0,807,1,0
230141,1,221,3779,0,4000,0,0
230151,1,351.5,5191,0,5542.5,0,0
230152,1,278.5,11992,0,12270.5,0,0
230211,1,238,1577,0,1815,0,0
230241,1,246,2213,0,2459,0,1000
230251,1,1169,80515,0,81684,0,300000
230311,1,394,2832,0,3226,1,0
230351,1,252,1533,0,1785,0,0
230352,1,92,2777,0,2869,0,0
230411,1,280.5,6917,0,7197.5,1,13000
230441,1,244,1220,0,1464,0,0
230459,1,366,13323,0,13689,0,2000
230511,1,422,6736,0,7158,1,30000
230541,1,71.5,901,0,972.5,0,0
230611,1,470,3906,0,4376,1,0
230612,1,248,2539,0,2787,0,0
230711,1,506,3654,0,4160,1,29000
230811,1,1189,16475,0,17664,1,43000
231011,1,231,1729,0,1960,1,0
231111,1,205,2211,0,2416,1,0
231211,1,393,8770,0,9163,0,3000
231212,1,219,5366,0,5585,0,0
240119,1,377.5,8726,75,9178.5,1,29000
240149,1,201.5,3584,50,3835.5,0,0
240159,1,352,34044,0,34396,1,4000
240219,1,310.5,14240,0,14550.5,1,16000
240249,1,423.5,6799,0,7222.5,1,2000
240259,1,966,19490,0,20456,0,0
240319,1,229,3942,80,4251,1,18500
240349,1,234,3949,0,4183,0,0
240359,1,730,14556,0,15286,1,15500
240419,1,196.5,5530,0,5726.5,1,34000
240449,1,443,10831,70,11344,0,0
